2014-08-14 15:21:28

------------

78 samples in ../split_library_log/Bokulich_Cheese_1of2_split_library_log.txt
86 samples in ../otu_table_stats/Bokulich_Cheese_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
Swab.19.1135604	74540.0	60974.0	0.818003756372
Swab.24.1135596	68514.0	54962.0	0.802201010013
Swab.59.1135584	62072.0	43886.0	0.707017656915
Swab.25.1135587	55096.0	43888.0	0.796573253957
Swab.4.1135610	54660.0	34704.0	0.634906695939
Swab.65.1135621	54630.0	38176.0	0.698810177558
Swab.64.1135647	53938.0	43450.0	0.805554525566
Swab.20.1135598	53060.0	43590.0	0.821522804372
Swab.22.1135593	49098.0	34436.0	0.701372764675
Swab.67.1135616	48268.0	35346.0	0.732286400928
Swab.1.1135644	48194.0	30290.0	0.628501473212
Swab.72.1135646	47752.0	38138.0	0.798668118613
Swab.28.1135629	46816.0	30236.0	0.645847573479
Swab.60.1135635	45998.0	21056.0	0.457759033001
Swab.11.1135622	44348.0	35592.0	0.802561558582
Swab.21.1135639	42998.0	34872.0	0.811014465789
Swab.16.1135618	42718.0	27458.0	0.642773538087
Swab.12.1135608	42272.0	33258.0	0.786761922786
Swab.78.1135631	41824.0	15618.0	0.373421958684
Swab.56.1135579	41648.0	34818.0	0.836006530926
Swab.3.1135572	41358.0	32392.0	0.783210019827
Swab.27.1135640	41176.0	29100.0	0.706722362541
Swab.61.1135615	40994.0	12348.0	0.301214811924
Swab.68.1135651	40692.0	19204.0	0.47193551558
Swab.5.1135566	39500.0	25246.0	0.639139240506
Swab.48.1135636	39126.0	25562.0	0.653325154629
Swab.37.1135592	38724.0	33300.0	0.859931825225
Swab.8.1135574	38214.0	27696.0	0.724760558957
Swab.13.1135581	37476.0	26264.0	0.700821859323
Swab.63.1135642	36186.0	22858.0	0.631680760515
Swab.18.1135576	35478.0	28398.0	0.800439709116
Swab.10.1135619	34966.0	28338.0	0.810444431734
Swab.57.1135583	34956.0	27916.0	0.798603959263
Swab.52.1135617	34544.0	25780.0	0.746294580824
Swab.6.1135611	34000.0	22728.0	0.668470588235
Swab.29.1135624	33186.0	18574.0	0.559693846803
Swab.71.1135605	32608.0	22926.0	0.703078999019
Swab.33.1135612	32354.0	25624.0	0.791988625827
Swab.17.1135641	32108.0	25288.0	0.787591877414
Swab.23.1135628	31542.0	25012.0	0.792974446769
Swab.30.1135650	30904.0	19060.0	0.616748640953
Swab.44.1135632	30786.0	23180.0	0.752939647892
Swab.14.1135567	30440.0	22970.0	0.754599211564
Swab.69.1135575	29932.0	8844.0	0.295469731391
Swab.9.1135578	29742.0	21440.0	0.720866115258
Swab.36.1135573	29708.0	22406.0	0.754207620843
Swab.40.1135597	29052.0	21446.0	0.738193583918
Swab.73.1135645	26106.0	18710.0	0.716693480426
Swab.26.1135591	25906.0	20610.0	0.795568594148
Swab.7.1135613	25224.0	7284.0	0.288772597526
Swab.43.1135634	25092.0	18398.0	0.733221743982
Swab.76.1135648	22682.0	10456.0	0.460982276695
Swab.31.1135603	21406.0	17362.0	0.811081005326
Swab.80.1135571	21350.0	1388.0	0.0650117096019
Swab.62.1135600	20514.0	1780.0	0.0867700107244
Swab.51.1135649	19560.0	12672.0	0.647852760736
Swab.15.1135625	18046.0	13362.0	0.740441094979
Swab.32.1135643	17304.0	12534.0	0.724341192788
Swab.46.1135577	16570.0	12786.0	0.771635485818
Swab.70.1135595	16010.0	700.0	0.0437226733292
Swab.54.1135627	15566.0	8930.0	0.573686239239
Swab.45.1135568	14422.0	11086.0	0.768686728609
Swab.47.1135626	13924.0	5728.0	0.411376041367
Swab.38.1135585	13682.0	10624.0	0.776494664523
Swab.49.1135614	11588.0	7638.0	0.659130134622
Swab.35.1135623	11416.0	8890.0	0.778731604765
Swab.53.1135590	10874.0	7132.0	0.655876402428
Swab.55.1135607	9876.0	7438.0	0.753138922641
Swab.75.1135594	8056.0	5920.0	0.734856007944
Swab.39.1135582	6996.0	5300.0	0.757575757576
Swab.2.1135638	2502.0	2014.0	0.804956035172
Swab.66.1135630	1928.0	1362.0	0.70643153527
Swab.34.1135588	1670.0	8.0	0.00479041916168
Swab.50.1135580	1500.0	8.0	0.00533333333333
Swab.58.1135606	764.0	524.0	0.685863874346
Swab.41.1135599	532.0	420.0	0.789473684211
Swab.42.1135602	210.0	162.0	0.771428571429
Swab.74.1135620	10.0	4.0	0.4
------------
Mean =  0.651164583693 percent of seqs made it into OTU table
SD =  0.205878721028
