2014-08-14 15:21:28

------------

147 samples in ../split_library_log/Bokulich_NICU_split_library_log.txt
146 samples in ../otu_table_stats/Bokulich_NICU_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
NICU.17.1129778	13.0	6.0	0.461538461538
NICU.64.1129751	15.0	1.0	0.0666666666667
NICU.46.1129791	20.0	1.0	0.05
NICU.145.1129843	28.0	5.0	0.178571428571
NICU.152.1129828	30.0	1.0	0.0333333333333
NICU.37.1129802	45.0	12.0	0.266666666667
NICU.16.1129849	408.0	1.0	0.00245098039216
NICU.27.1129759	641.0	329.0	0.513260530421
NICU.28.1129779	1280.0	817.0	0.63828125
NICU.8.1129782	2529.0	1588.0	0.6279161724
NICU.100.1129845	2631.0	1515.0	0.57582668187
NICU.124.1129745	2639.0	1452.0	0.550208412277
NICU.73.1129852	2748.0	1695.0	0.616812227074
NICU.116.1129824	3401.0	1871.0	0.550132314025
NICU.140.1129792	3528.0	1914.0	0.542517006803
NICU.108.1129752	3596.0	1325.0	0.368464961068
NICU.139.1129781	4866.0	2068.0	0.42498972462
NICU.121.1129728	5119.0	2249.0	0.439343621801
NICU.105.1129851	5198.0	2964.0	0.570219315121
NICU.129.1129743	5674.0	3215.0	0.566619668664
NICU.67.1129796	6034.0	3509.0	0.581537951608
NICU.132.1129835	6210.0	3476.0	0.559742351047
NICU.48.1129827	6728.0	3858.0	0.573424494649
NICU.38.1129847	6809.0	3999.0	0.587310912028
NICU.106.1129768	6937.0	3937.0	0.56753639902
NICU.113.1129819	6976.0	2239.0	0.320957568807
NICU.77.1129795	7149.0	4157.0	0.581479927263
NICU.136.1129750	7380.0	4093.0	0.55460704607
NICU.41.1129724	7401.0	4157.0	0.561680853939
NICU.23.1129815	7557.0	4293.0	0.568082572449
NICU.114.1129826	7660.0	4361.0	0.569321148825
NICU.20.1129801	8314.0	4794.0	0.576617753187
NICU.76.1129757	8440.0	4732.0	0.560663507109
NICU.13.1129860	8738.0	5093.0	0.582856488899
NICU.31.1129726	9243.0	4628.0	0.50070323488
NICU.89.1129861	9264.0	4448.0	0.480138169257
NICU.137.1129764	9330.0	5330.0	0.57127545552
NICU.117.1129787	9386.0	4944.0	0.526741956105
NICU.22.1129859	9479.0	5226.0	0.551323979323
NICU.80.1129844	9499.0	5215.0	0.549005158438
NICU.133.1129858	9889.0	5012.0	0.506825766003
NICU.110.1129775	10088.0	5413.0	0.536578112609
NICU.56.1129731	10309.0	5938.0	0.576001552042
NICU.34.1129740	10389.0	5876.0	0.565598228896
NICU.101.1129864	10560.0	5573.0	0.527746212121
NICU.128.1129869	10632.0	5861.0	0.551260346125
NICU.33.1129839	10720.0	6139.0	0.572667910448
NICU.149.1129734	10862.0	6352.0	0.584791014546
NICU.141.1129854	11154.0	6495.0	0.582302313072
NICU.5.1129729	11615.0	6643.0	0.571932845458
NICU.147.1129733	12024.0	6681.0	0.555638722555
NICU.58.1129755	12096.0	6870.0	0.567956349206
NICU.66.1129868	12136.0	6932.0	0.571193144364
NICU.74.1129770	12179.0	6336.0	0.520239756959
NICU.127.1129809	12268.0	6523.0	0.531708509945
NICU.21.1129758	12276.0	6987.0	0.569159335288
NICU.50.1129866	12457.0	6430.0	0.516175644216
NICU.95.1129756	12493.0	6206.0	0.496758184583
NICU.24.1129831	12801.0	7262.0	0.567299429732
NICU.120.1129763	12857.0	7434.0	0.578206424516
NICU.75.1129862	12954.0	7137.0	0.550949513664
NICU.148.1129748	12993.0	7549.0	0.581005156623
NICU.29.1129840	13066.0	7688.0	0.588397367213
NICU.57.1129777	13147.0	7617.0	0.579371719784
NICU.82.1129799	13234.0	7691.0	0.581154601783
NICU.30.1129790	13535.0	7888.0	0.58278537126
NICU.131.1129812	13562.0	7476.0	0.55124612889
NICU.115.1129814	13634.0	7685.0	0.563664368491
NICU.138.1129783	13639.0	7588.0	0.556345773151
NICU.42.1129797	13872.0	7935.0	0.572015570934
NICU.62.1129789	13884.0	8092.0	0.582829155863
NICU.83.1129773	13960.0	8732.0	0.625501432665
NICU.35.1129806	14015.0	8227.0	0.587013913664
NICU.55.1129848	14046.0	8125.0	0.578456500071
NICU.51.1129857	14076.0	7260.0	0.515771526002
NICU.109.1129834	14116.0	6670.0	0.472513459904
NICU.39.1129754	14123.0	8498.0	0.601713516958
NICU.84.1129725	14153.0	7929.0	0.560234579241
NICU.135.1129842	14429.0	6007.0	0.4163143669
NICU.19.1129800	14505.0	8247.0	0.568562564633
NICU.122.1129822	14616.0	8338.0	0.570470717022
NICU.12.1129803	14621.0	8516.0	0.582449900828
NICU.88.1129856	14641.0	8915.0	0.608906495458
NICU.85.1129841	14697.0	8481.0	0.577056542151
NICU.40.1129821	14944.0	8455.0	0.565778907923
NICU.112.1129850	15516.0	8407.0	0.541827790668
NICU.36.1129771	15745.0	9191.0	0.583740870117
NICU.102.1129753	15792.0	8507.0	0.53869047619
NICU.4.1129805	15873.0	8472.0	0.533736533737
NICU.79.1129765	16377.0	9545.0	0.582829578067
NICU.72.1129837	17275.0	9383.0	0.543154848046
NICU.65.1129741	17303.0	10386.0	0.600242732474
NICU.111.1129785	17505.0	9382.0	0.535961153956
NICU.81.1129738	17634.0	8900.0	0.504706816377
NICU.146.1129829	17667.0	10183.0	0.57638535122
NICU.7.1129746	17681.0	9948.0	0.56263785985
NICU.94.1129760	17873.0	10633.0	0.594919711296
NICU.9.1129863	17886.0	10116.0	0.565582019457
NICU.47.1129836	18031.0	9993.0	0.554212190117
NICU.87.1129830	18117.0	10505.0	0.579842137219
NICU.150.1129732	18333.0	10811.0	0.589701630939
NICU.61.1129786	18354.0	10640.0	0.579710144928
NICU.49.1129810	18673.0	10902.0	0.58383762652
NICU.59.1129780	18857.0	11974.0	0.634989659013
NICU.90.1129832	18864.0	10937.0	0.579781594572
NICU.143.1129744	18929.0	11125.0	0.587722542131
NICU.96.1129767	19007.0	10629.0	0.559215026043
NICU.134.1129817	19137.0	10474.0	0.547316716309
NICU.103.1129820	19148.0	10444.0	0.545435554627
NICU.26.1129739	19696.0	11768.0	0.597481722177
NICU.107.1129762	19815.0	11236.0	0.567045167802
NICU.18.1129736	19853.0	10773.0	0.542638392183
NICU.93.1129838	19921.0	11369.0	0.570704281914
NICU.52.1129776	20057.0	11369.0	0.566834521613
NICU.2.1129811	20152.0	11360.0	0.563715760222
NICU.25.1129846	20242.0	11656.0	0.575832427626
NICU.70.1129804	20254.0	11039.0	0.545028142589
NICU.118.1129808	20332.0	11034.0	0.542691324021
NICU.44.1129784	20452.0	11825.0	0.578183062781
NICU.6.1129723	20715.0	11495.0	0.55491189959
NICU.99.1129818	21222.0	11740.0	0.553199509943
NICU.151.1129867	21266.0	12027.0	0.565550644221
NICU.78.1129793	21999.0	12476.0	0.567116687122
NICU.15.1129774	22054.0	12661.0	0.57409086787
NICU.104.1129798	22390.0	12161.0	0.543144260831
NICU.68.1129747	23008.0	13510.0	0.587187065369
NICU.130.1129742	23191.0	13084.0	0.564184381872
NICU.3.1129813	23658.0	13276.0	0.561163242878
NICU.1.1129823	23659.0	13308.0	0.562492074898
NICU.126.1129761	24276.0	13474.0	0.555033778217
NICU.43.1129865	24304.0	13937.0	0.573444700461
NICU.123.1129794	25280.0	15011.0	0.593789556962
NICU.86.1129727	25725.0	14932.0	0.580447035957
NICU.32.1129769	26536.0	15137.0	0.570432619837
