2014-08-14 15:21:29

------------

168 samples in ../split_library_log/Claesson_elderly_gut_study_486_split_library_log.txt
168 samples in ../otu_table_stats/Claesson_elderly_gut_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
EM161.441598	2.0	2.0	1.0
EM095.441717	2757.0	2568.0	0.931447225245
EM037.441737	7293.0	6764.0	0.927464692171
EM168.441668	7659.0	7127.0	0.930539234887
EMC02.441750	8448.0	7934.0	0.93915719697
EM170.441651	8725.0	8175.0	0.936962750716
EM135.441660	8747.0	8167.0	0.933691551389
EM166.441748	8805.0	8240.0	0.935831913685
EM129.441689	8936.0	7833.0	0.876566696509
EM180.441692	9435.0	8660.0	0.917859035506
EM167.441702	9950.0	8576.0	0.861909547739
EM132.441696	10057.0	9720.0	0.966491001293
EM089.441742	10169.0	8950.0	0.880125872751
EM173.441754	10325.0	9636.0	0.933268765133
EM069.441700	10339.0	8978.0	0.868362510881
EM077.441646	10475.0	10025.0	0.957040572792
EM159.441719	10599.0	9905.0	0.934522124729
EM147.441617	10917.0	10506.0	0.962352294586
EM156.441613	10963.0	10567.0	0.96387850041
EM043.441739	11158.0	10443.0	0.935920415845
EM099.441708	11193.0	10563.0	0.943714821764
EM169.441653	11270.0	10474.0	0.929370008873
EM049.441600	11349.0	10722.0	0.94475284166
EM050.441672	11367.0	10808.0	0.950822556523
EM101.441623	11417.0	10491.0	0.91889287904
EMC03.441713	11418.0	10311.0	0.903047819233
EM165.441597	11463.0	10794.0	0.941638314577
EM115.441641	11638.0	11243.0	0.966059460388
EM138.441753	11769.0	11312.0	0.961169173252
EM126.441679	11858.0	11397.0	0.961123292292
EMC08.441752	11960.0	10590.0	0.885451505017
EM130.441701	11969.0	10825.0	0.904419751023
EM117.441609	12050.0	11610.0	0.963485477178
EM151.441595	12085.0	11170.0	0.924286305337
EM047.441722	12121.0	11739.0	0.968484448478
EM146.441718	12121.0	11105.0	0.916178533124
EM096.441706	12162.0	10749.0	0.883818450913
EM113.441619	12268.0	11979.0	0.976442777959
EM106.441745	12348.0	10426.0	0.844347262715
EM075.441644	12367.0	11806.0	0.954637341312
EM183.441654	12400.0	11610.0	0.936290322581
EMC06.441610	12467.0	11640.0	0.933664875271
EM152.441730	12550.0	12024.0	0.958087649402
EM118.441693	12631.0	11988.0	0.949093500119
EM105.441629	12647.0	12398.0	0.980311536333
EMC01.441661	12770.0	11779.0	0.92239624119
EM137.441680	12796.0	12148.0	0.949359174742
EM109.441669	12950.0	11578.0	0.894054054054
EM072.T3.441632	13050.0	12161.0	0.931877394636
EM107.441620	13053.0	11658.0	0.893128016548
EM074.441596	13240.0	12538.0	0.946978851964
EM142.441711	13325.0	12525.0	0.939962476548
EM134.441735	13333.0	12822.0	0.961674041851
EM057.441605	13356.0	12964.0	0.970649895178
EM102.441633	13368.0	12559.0	0.939482345901
EM111.441634	13478.0	12832.0	0.952070040065
EM162.441728	13506.0	12383.0	0.916851769584
EM090.T3.441662	13573.0	13127.0	0.967140646872
EM140.441608	13699.0	13190.0	0.962844003212
EM136.441650	13714.0	13205.0	0.96288464343
EM087.441726	13893.0	12438.0	0.895270999784
EM149.441655	13901.0	13222.0	0.951154593195
EM158.441731	13915.0	12725.0	0.914480776141
EM076.441622	13944.0	12940.0	0.927997705106
EM098.441733	14064.0	13456.0	0.956769055745
EM067.441615	14093.0	11123.0	0.789257077982
EM086.T3.441746	14162.0	13092.0	0.92444569976
EM110.441723	14187.0	13734.0	0.968069359273
EM222.441725	14275.0	12645.0	0.885814360771
EM098.T3.441740	14322.0	13920.0	0.971931294512
EM059.T3.441604	14330.0	13062.0	0.911514305652
EMC05.441628	14403.0	12984.0	0.901478858571
EM056.T3.441716	14472.0	13826.0	0.955362078496
EM073.T3.441721	14479.0	13796.0	0.952828233994
EM035.441593	14487.0	14143.0	0.976254573066
EM060.441677	14560.0	13454.0	0.924038461538
EM139.441611	14578.0	13286.0	0.911373302236
EM080.441727	14584.0	13451.0	0.922312122874
EM209.441665	14642.0	13997.0	0.955948640896
EM094.441640	14774.0	13713.0	0.928184648707
EM125.441659	14795.0	13935.0	0.94187225414
EMC09.441635	14812.0	14033.0	0.947407507426
EM066.T3.441647	14859.0	13878.0	0.93397940642
EM094.T3.441588	14957.0	14287.0	0.955204920773
EM065.T3.441614	14957.0	14253.0	0.952931737648
EM071.T3.441734	15063.0	14518.0	0.963818628427
EM083.T3.441744	15411.0	14963.0	0.970929855298
EM086.441698	15422.0	14201.0	0.920827389444
EM079.441724	15514.0	14243.0	0.91807399768
EM060.T3.441729	15531.0	14398.0	0.927049127551
EM040.441709	15611.0	15201.0	0.973736467875
EM093.T3.441670	15642.0	14450.0	0.923794911137
EM100.T3.441627	15765.0	14439.0	0.915889628925
EM150.441648	15846.0	14953.0	0.943645083933
EM133.441663	15849.0	14559.0	0.918606852167
EM108.441694	15917.0	15248.0	0.957969466608
EM112.441630	15974.0	15482.0	0.969199949919
EM090.441664	16051.0	15620.0	0.973148090462
EM178.441705	16089.0	14639.0	0.909876313009
EM031.441732	16112.0	15618.0	0.969339622642
EM066.441656	16139.0	14184.0	0.878864861516
EM053.T3.441688	16176.0	15574.0	0.962784371909
EM124.441697	16202.0	15479.0	0.955375879521
EM055.T3.441626	16216.0	15070.0	0.929329057721
EM065.441667	16311.0	14371.0	0.881061860094
EM163.441642	16316.0	15522.0	0.951336111792
EM036.441587	16428.0	15893.0	0.967433649866
EM056.441606	16499.0	15513.0	0.940238802352
EM141.441684	16559.0	15759.0	0.951687903859
EM082.441607	16601.0	16073.0	0.968194687067
EM057.T3.441589	16614.0	16116.0	0.970025279884
EMC04.441704	16638.0	16068.0	0.965741074648
EM085.441675	16675.0	15557.0	0.932953523238
EM047.T3.441645	16794.0	16362.0	0.974276527331
EM039.441743	16816.0	16426.0	0.976807802093
EMC07.441636	16861.0	14364.0	0.851906767096
EM123.441687	17159.0	16850.0	0.981991957573
EM122.441699	17232.0	15934.0	0.924675023213
EM103.441691	17495.0	15635.0	0.893683909688
EM083.441666	17766.0	17282.0	0.97275695148
EM073.441594	17851.0	16792.0	0.940675592404
EM064.441592	17998.0	16831.0	0.935159462162
EM078.441658	18008.0	16969.0	0.942303420702
EM155.441678	18014.0	17175.0	0.9534251138
EM054.T3.441749	18097.0	17431.0	0.963198320164
EM059.441715	18120.0	17002.0	0.938300220751
EM082.T3.441751	18329.0	17598.0	0.960117846036
EM179.441612	18547.0	18101.0	0.97595298431
EM091.441686	18550.0	16902.0	0.91115902965
EM058.441637	18598.0	17315.0	0.931014087536
EM144.441736	18601.0	16596.0	0.892210096231
EM077.T3.441639	18613.0	17808.0	0.956750658142
EM160.441703	18689.0	18000.0	0.963133393975
EM038.441649	18787.0	17965.0	0.956246340555
EM131.441591	18825.0	17652.0	0.937689243028
EM046.441741	18861.0	17823.0	0.944965802449
EM055.441603	18920.0	16908.0	0.893657505285
EM088.441638	18946.0	18153.0	0.958144199303
EM092.441616	18971.0	17656.0	0.930683675083
EM034.441676	19020.0	17711.0	0.931177707676
EM114.441710	19031.0	18518.0	0.973043980873
EM084.441599	19128.0	18257.0	0.954464659138
EM089.T3.441624	19225.0	18093.0	0.941118335501
EM063.T3.441695	19383.0	18535.0	0.956250322448
EM100.441714	19416.0	17604.0	0.906674907293
EM054.441707	19471.0	18922.0	0.971804221663
EM052.441625	19606.0	18707.0	0.954146689789
EM063.441621	20307.0	17633.0	0.868321268528
EM049.T3.441671	21321.0	20175.0	0.946250175883
EM145.441690	21708.0	20604.0	0.949143173024
EM042.441674	22000.0	20427.0	0.9285
EM053.441738	22663.0	22107.0	0.9754666196
EM095.T3.441590	22768.0	21579.0	0.947777582572
EM148.441631	23008.0	22175.0	0.963795201669
EM071.441747	23048.0	19974.0	0.866626171468
EM174.441652	24000.0	22973.0	0.957208333333
EM093.441602	24107.0	22987.0	0.953540465425
EM068.441712	24366.0	22394.0	0.919067553148
EM072.441643	24451.0	23173.0	0.947732199092
EM032.441683	24891.0	23382.0	0.939375677956
EM081.441618	25099.0	23934.0	0.95358380812
EM033.441685	25425.0	24801.0	0.975457227139
EM061.441673	25734.0	25074.0	0.974352996036
EM070.441682	26405.0	25132.0	0.951789433819
EM116.441657	26671.0	26013.0	0.975329009036
EM182.441681	27330.0	26699.0	0.976911818514
EM062.441720	29294.0	27812.0	0.949409435379
EM044.441601	43364.0	38719.0	0.892883497832
------------
Mean =  0.938293090647 percent of seqs made it into OTU table
SD =  0.0315785134314
