2014-08-14 15:21:29

------------

600 samples in ../split_library_log/Costello_body_split_library_log.txt
600 samples in ../otu_table_stats/Costello_body_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
M12Urin.140746	413.0	394.0	0.953995157385
M22Knel.140707	439.0	396.0	0.902050113895
M22Aptl.140790	495.0	439.0	0.886868686869
F11Aptr.140618	511.0	489.0	0.956947162427
M41Glns.140561	513.0	472.0	0.92007797271
M31Forr.140497	518.0	497.0	0.959459459459
M32Urin.140565	528.0	426.0	0.806818181818
M22Kner.140718	540.0	475.0	0.87962962963
F12Ewxr.140726	543.0	521.0	0.959484346225
M32Knel.140332	562.0	479.0	0.85231316726
M31Forl.140292	570.0	533.0	0.935087719298
M42Navl.140564	571.0	541.0	0.947460595447
M11Forr.140759	574.0	537.0	0.935540069686
F12Forl.140305	574.0	518.0	0.90243902439
F11Fcsp.140567	575.0	510.0	0.886956521739
M31Fcsp.140824	584.0	525.0	0.89897260274
M12Kner.140631	591.0	539.0	0.912013536379
M31Navl.140871	595.0	577.0	0.96974789916
M42Fcsp.140374	604.0	500.0	0.827814569536
M32Kner.140429	605.0	525.0	0.867768595041
M11Nstr.140514	606.0	583.0	0.96204620462
F11Knel.140331	609.0	544.0	0.893267651888
M11Indr.140633	615.0	581.0	0.944715447154
F11Kner.140478	628.0	568.0	0.904458598726
F32Knel.140324	633.0	554.0	0.875197472354
M31Fotl.140712	634.0	561.0	0.884858044164
F31Nstl.140789	635.0	607.0	0.955905511811
M21Nose.140682	665.0	635.0	0.954887218045
F31Plml.140322	666.0	611.0	0.917417417417
M11Navl.140483	666.0	604.0	0.906906906907
M41Indr.140781	672.0	602.0	0.895833333333
F11Hair.140612	674.0	661.0	0.980712166172
F12Frhd.140469	674.0	656.0	0.973293768546
F12Knel.140738	683.0	602.0	0.88140556369
F11Plmr.140656	696.0	596.0	0.85632183908
M42Nstr.140784	703.0	644.0	0.916073968706
M11Plmr.140866	712.0	660.0	0.926966292135
F12Forr.140302	712.0	652.0	0.915730337079
F31Hair.140753	712.0	686.0	0.963483146067
M24Tong.140439	713.0	639.0	0.896213183731
M41Forl.140496	717.0	670.0	0.934449093445
F11Plml.140803	720.0	627.0	0.870833333333
F31Aptr.140458	723.0	697.0	0.964038727524
M12Ewxl.140401	730.0	686.0	0.939726027397
M21Aptl.140554	733.0	680.0	0.927694406548
M12Knel.140275	735.0	675.0	0.918367346939
M32Pinr.140389	736.0	713.0	0.96875
F11Aptl.140780	751.0	683.0	0.909454061252
M12Fcsw.140326	755.0	647.0	0.856953642384
F11Forr.140422	761.0	675.0	0.886990801577
M11Aptr.140378	764.0	745.0	0.975130890052
F11Indr.140809	770.0	708.0	0.919480519481
F34Ewax.140285	772.0	744.0	0.963730569948
M12Indl.140438	776.0	751.0	0.967783505155
M21Kner.140721	783.0	686.0	0.876117496807
M64Uric.140672	788.0	711.0	0.902284263959
M31Nstl.140392	789.0	760.0	0.963244613435
M12Indr.140762	792.0	730.0	0.921717171717
F31Pinr.140799	794.0	770.0	0.969773299748
F22Forr.140732	795.0	737.0	0.927044025157
M11Pinl.140316	796.0	771.0	0.968592964824
F11Forl.140437	798.0	723.0	0.906015037594
F31Kner.140761	799.0	700.0	0.876095118899
M32Glns.140441	802.0	673.0	0.839152119701
F14Fotl.140552	805.0	780.0	0.968944099379
M33Fotr.140533	809.0	759.0	0.938195302843
M11Frhd.140548	815.0	779.0	0.955828220859
M11Indl.140749	815.0	773.0	0.948466257669
M11Nose.140428	816.0	784.0	0.960784313725
M11Nstl.140810	818.0	790.0	0.965770171149
F32Aptl.140820	818.0	738.0	0.902200488998
F31Aptl.140409	821.0	781.0	0.951278928136
F11Ewxr.140797	824.0	796.0	0.966019417476
F11Pinl.140315	826.0	761.0	0.921307506053
M11Urin.140484	827.0	782.0	0.945586457074
M34Knee.140362	829.0	785.0	0.946924004825
M34Urin.140663	831.0	769.0	0.925391095066
M11Aptl.140830	831.0	805.0	0.968712394705
M11Plml.140620	834.0	773.0	0.926858513189
M11Pinr.140546	835.0	814.0	0.974850299401
M12Hair.140590	836.0	807.0	0.965311004785
F11Fotr.140431	838.0	655.0	0.781622911695
F11Indl.140283	838.0	789.0	0.941527446301
M42Forr.140521	845.0	746.0	0.882840236686
F31Pinl.140395	851.0	825.0	0.969447708578
M13Fotl.140685	853.0	808.0	0.947245017585
M11Forl.140337	855.0	788.0	0.921637426901
M12Fotr.140278	855.0	827.0	0.967251461988
F33Ewax.140872	862.0	823.0	0.95475638051
M11Knel.140676	863.0	808.0	0.936268829664
M24Fotr.140398	865.0	778.0	0.899421965318
M12Pinl.140722	867.0	834.0	0.961937716263
M12Navl.140334	869.0	795.0	0.914844649022
M12Plml.140817	871.0	815.0	0.93570608496
M64Urin.140764	872.0	805.0	0.923165137615
M12Forl.140812	872.0	798.0	0.915137614679
M41Indl.140854	872.0	798.0	0.915137614679
M13Uric.140340	875.0	861.0	0.984
F11Frhd.140508	875.0	842.0	0.962285714286
F32Pinr.140328	877.0	844.0	0.962371721779
M33Fotl.140701	879.0	857.0	0.974971558589
M31Urin.140563	882.0	801.0	0.908163265306
F12Hair.140386	883.0	871.0	0.986409966025
F12Fcsp.140694	885.0	751.0	0.848587570621
M12Fcsp.140668	886.0	799.0	0.901805869074
F14Plml.140525	886.0	837.0	0.944695259594
F21Fotr.140485	896.0	875.0	0.9765625
F12Fcsw.140400	898.0	804.0	0.895322939866
M32Fotl.140843	899.0	797.0	0.886540600667
F11Ewxl.140795	902.0	854.0	0.946784922395
M11Fcsw.140610	903.0	814.0	0.901439645626
M41Nstr.140549	907.0	830.0	0.915104740904
F22Aptl.140370	908.0	877.0	0.965859030837
F12Ewxl.140466	909.0	855.0	0.940594059406
M22Glns.140314	911.0	799.0	0.877058177827
F13Uric.140806	911.0	877.0	0.962678375412
M31Kner.140321	914.0	847.0	0.926695842451
M12Forr.140849	914.0	848.0	0.927789934354
F14Nost.140522	918.0	897.0	0.977124183007
M42Nstl.140363	919.0	842.0	0.916213275299
M12Nstl.140399	922.0	876.0	0.95010845987
M11Hair.140577	923.0	901.0	0.97616468039
M12Aptr.140800	924.0	901.0	0.975108225108
M41Hair.140413	924.0	894.0	0.967532467532
F13Plmr.140454	928.0	823.0	0.886853448276
F11Mout.140583	932.0	863.0	0.925965665236
M33Knee.140298	932.0	867.0	0.93025751073
M34Fotl.140468	933.0	905.0	0.969989281886
F22Navl.140838	939.0	911.0	0.970181043663
M42Fotr.140861	941.0	891.0	0.946865037194
F34Knee.140341	946.0	896.0	0.947145877378
F34Plml.140846	946.0	907.0	0.958773784355
F21Indr.140440	947.0	886.0	0.935586061246
M63Knee.140419	948.0	872.0	0.919831223629
M23Plmr.140648	955.0	892.0	0.934031413613
F32Ewxl.140542	955.0	914.0	0.957068062827
M11Kner.140517	956.0	881.0	0.921548117155
F11Fotl.140558	956.0	790.0	0.826359832636
F32Pinl.140578	956.0	932.0	0.97489539749
M13Fotr.140755	963.0	921.0	0.956386292835
F12Aptr.140530	967.0	903.0	0.933815925543
M63Uric.140617	967.0	952.0	0.984488107549
M33Uric.140581	970.0	858.0	0.884536082474
M12Mout.140350	971.0	879.0	0.905252317199
M34Fotr.140476	972.0	852.0	0.876543209877
M12Plmr.140584	972.0	918.0	0.944444444444
M63Fotr.140467	973.0	807.0	0.829393627955
F11Nose.140325	976.0	957.0	0.980532786885
F11Nstl.140539	978.0	923.0	0.943762781186
M12Glns.140683	984.0	943.0	0.958333333333
M14Uric.140532	988.0	945.0	0.956477732794
F21Fcsp.140536	990.0	791.0	0.79898989899
F33Nost.140487	994.0	975.0	0.980885311871
M53Plmr.140520	995.0	968.0	0.972864321608
M33Frhd.140580	997.0	981.0	0.983951855567
F11Fcsw.140616	998.0	851.0	0.852705410822
