2014-08-14 15:21:29

------------

29 samples in ../split_library_log/Defilippo_children_and_diets_study_496_split_library_log.txt
29 samples in ../otu_table_stats/Defilippo_children_and_diets_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
8BF.397085	86.0	70.0	0.813953488372
1EU.397083	111.0	101.0	0.90990990991
6BF.397080	119.0	111.0	0.932773109244
17EU.397092	125.0	119.0	0.952
4BF.397072	139.0	129.0	0.928057553957
3EU.397090	142.0	136.0	0.957746478873
6EU.397081	154.0	144.0	0.935064935065
12EU.397069	164.0	156.0	0.951219512195
10EU.397087	171.0	158.0	0.923976608187
19EU.397079	174.0	166.0	0.954022988506
2BF.397074	175.0	170.0	0.971428571429
7BF.397095	185.0	175.0	0.945945945946
13BF.397089	197.0	177.0	0.89847715736
9BF.397097	215.0	190.0	0.883720930233
18EU.397078	236.0	223.0	0.944915254237
13EU.397086	241.0	228.0	0.946058091286
20EU.397084	247.0	232.0	0.939271255061
3BF.397093	249.0	238.0	0.955823293173
11EU.397091	263.0	232.0	0.882129277567
8EU.397075	275.0	255.0	0.927272727273
2EU.397076	308.0	290.0	0.941558441558
21EU.397077	366.0	352.0	0.96174863388
11BF.397088	370.0	343.0	0.927027027027
15BF.397094	379.0	362.0	0.955145118734
10BF.397096	387.0	352.0	0.909560723514
17BF.397082	405.0	375.0	0.925925925926
5EU.397070	483.0	461.0	0.954451345756
12BF.397073	588.0	569.0	0.96768707483
16BF.397071	642.0	606.0	0.943925233645
------------
Mean =  0.932441262508 percent of seqs made it into OTU table
SD =  0.0316878997772
