2014-08-14 15:21:30

------------

179 samples in ../split_library_log/Fierer_undergraduate_palms_split_library_log.txt
179 samples in ../otu_table_stats/Fierer_undergraduate_palms_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
S103.141251	3.0	3.0	1.0
S30.141285	7.0	7.0	1.0
NTC2.141221	10.0	10.0	1.0
S3.141318	13.0	13.0	1.0
NTC4.141314	14.0	14.0	1.0
NTC3.141324	21.0	20.0	0.952380952381
S77.141183	89.0	89.0	1.0
F44.141232	193.0	181.0	0.937823834197
F10.141305	240.0	223.0	0.929166666667
F40.141222	252.0	231.0	0.916666666667
M40.141268	260.0	252.0	0.969230769231
F22.141192	267.0	257.0	0.962546816479
F26.141204	278.0	271.0	0.974820143885
F42.141206	287.0	260.0	0.905923344948
M46.141278	291.0	279.0	0.958762886598
F34.141258	295.0	274.0	0.928813559322
M42.141226	299.0	286.0	0.95652173913
M44.141272	302.0	284.0	0.940397350993
F46.141165	314.0	286.0	0.910828025478
F30.141328	325.0	311.0	0.956923076923
NTC1.141329	344.0	294.0	0.854651162791
F20.141202	374.0	327.0	0.874331550802
F32.141203	381.0	348.0	0.913385826772
M36.141240	394.0	337.0	0.855329949239
M32.141256	398.0	365.0	0.917085427136
M34.141225	426.0	388.0	0.910798122066
M20.141303	440.0	420.0	0.954545454545
M12.141195	448.0	436.0	0.973214285714
F24.141175	467.0	440.0	0.942184154176
F36.141168	474.0	456.0	0.962025316456
M30.141266	486.0	449.0	0.923868312757
F12.141235	505.0	458.0	0.906930693069
F16.141290	529.0	489.0	0.92438563327
F14.141326	561.0	522.0	0.930481283422
M22.141223	587.0	565.0	0.962521294719
M16.141213	629.0	609.0	0.968203497615
M10.141280	639.0	601.0	0.940532081377
M24.141282	647.0	617.0	0.953632148377
M26.141172	648.0	586.0	0.904320987654
M14.141224	792.0	760.0	0.959595959596
S20.141297	970.0	886.0	0.913402061856
S70.141169	1313.0	1279.0	0.974105102818
S5.141170	2413.0	2336.0	0.968089515126
S161.141212	2519.0	2447.0	0.971417229059
S88.141296	2536.0	2397.0	0.945189274448
S78.141196	2538.0	2484.0	0.978723404255
S104.141153	2560.0	2465.0	0.962890625
S56.141230	2563.0	2459.0	0.959422551697
S113.141302	2572.0	2530.0	0.98367029549
S105.141148	2643.0	2401.0	0.908437381763
S57.141254	2658.0	2538.0	0.954853273138
S76.141295	2678.0	2602.0	0.971620612397
S108.141320	2704.0	2379.0	0.879807692308
S82.141309	2721.0	2626.0	0.965086365307
S34.141200	2745.0	2353.0	0.857194899818
S131.141234	2776.0	2708.0	0.975504322767
S53.141277	2784.0	2637.0	0.947198275862
S66.141193	2798.0	2681.0	0.958184417441
S157.141289	2806.0	2681.0	0.955452601568
S107.141220	2812.0	2582.0	0.918207681366
S69.141181	2819.0	2754.0	0.976942178077
S33.141188	2852.0	2598.0	0.910939691445
S1.141274	2856.0	2754.0	0.964285714286
S59.141263	2857.0	2772.0	0.970248512426
S43.141201	2859.0	2752.0	0.962574326688
S54.141262	2876.0	2737.0	0.951668984701
S29.141311	2885.0	2675.0	0.927209705373
S80.141219	2887.0	2797.0	0.968825770696
S100.141261	2894.0	2575.0	0.889771941949
S12.141315	2915.0	2804.0	0.96192109777
S67.141255	2916.0	2789.0	0.956447187929
S41.141304	2917.0	2693.0	0.92320877614
S61.141273	2920.0	2736.0	0.93698630137
