2014-08-14 15:21:31

------------

285 samples in ../split_library_log/Flores_Residential_Kitchen_Microbiology_study_1566_split_library_log.txt
285 samples in ../otu_table_stats/Flores_Residential_Kitchen_Microbiology_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
KiA2.630638	4804.0	991.0	0.206286427977
kit2.D12.ntc.630593	5624.0	353.0	0.0627667140825
kit2.G12.ntc.630741	8225.0	99.0	0.0120364741641
KiB65.630532	8441.0	7144.0	0.846345219761
kit1.A12.ntc.630619	13136.0	253.0	0.0192600487211
KiA4.630684	13171.0	2109.0	0.160124515982
KiC27.630680	15423.0	7015.0	0.454840173766
KiB11.630556	17214.0	7586.0	0.440687812246
KiB80.630552	18022.0	12644.0	0.701586949284
KiD4.630572	18552.0	542.0	0.0292151789564
KiB67.630688	19325.0	17487.0	0.90489003881
KiD50.630659	24634.0	22155.0	0.899366728911
KiB81.630599	24669.0	16233.0	0.658032348291
KiB66.630522	24780.0	21870.0	0.882566585956
KiB74.630598	25053.0	22027.0	0.879216061949
KiB76.630725	25421.0	21076.0	0.829078321073
KiB72.630654	25793.0	23445.0	0.908967549335
KiB69.630473	26408.0	23931.0	0.906202665859
KiB73.630671	26841.0	22601.0	0.842032711151
KiB71.630673	29251.0	26762.0	0.914908892004
KiB75.630564	29704.0	26097.0	0.878568542957
KiD49.630596	29772.0	23596.0	0.792556764745
KiD53.630720	29782.0	26569.0	0.892116043248
KiD3.630690	30407.0	24005.0	0.789456375177
KiC20.630608	31565.0	17312.0	0.548455567876
KiB70.630661	31778.0	28575.0	0.899206998552
KiB68.630557	32551.0	29169.0	0.896101502258
KiB58.630701	33218.0	7900.0	0.23782286712
KiA34.630630	33916.0	22805.0	0.672396509022
KiB77.630533	35107.0	31775.0	0.905090152961
KiD51.630585	36276.0	27229.0	0.750606461572
KiB78.630475	36345.0	32504.0	0.894318338148
KiD65.630700	36698.0	33403.0	0.910213090632
KiD10.630470	37688.0	35391.0	0.939052218213
KiA3.630561	37975.0	1255.0	0.0330480579329
KiA49.630506	39002.0	27059.0	0.693784934106
KiD1.630626	39529.0	24483.0	0.619368058893
KiB79.630592	39619.0	34455.0	0.869658497186
KiB60.630665	39731.0	24092.0	0.606377891319
KiD52.630595	40577.0	29558.0	0.728442220963
KiC53.630650	41040.0	28062.0	0.683771929825
KiC50.630547	41057.0	32777.0	0.798329152154
KiB82.630529	42924.0	38350.0	0.893439567608
KiD54.630548	43263.0	38723.0	0.89506044426
KiD11.630607	43341.0	18576.0	0.428601093653
KiD55.630717	43461.0	36063.0	0.829778422034
KiA17.630568	44019.0	7893.0	0.179308934778
KiC65.630750	44234.0	848.0	0.0191707736131
KiD2.630591	44338.0	41005.0	0.924827461771
KiD66.630507	46157.0	40544.0	0.87839330979
KiC83.630545	47265.0	21920.0	0.463768115942
KiC49.630602	49008.0	2365.0	0.0482574273588
KiD12.630491	50059.0	41145.0	0.821930122456
KiC18.630696	50125.0	31843.0	0.635271820449
KiD15.630643	50702.0	41413.0	0.816792236993
KiD5.630692	50922.0	45593.0	0.895349750599
KiA28.630736	51073.0	36238.0	0.709533412958
KiC47.630677	51711.0	2913.0	0.0563323084063
KiD14.630746	51825.0	41735.0	0.805306319344
KiC17.630518	52728.0	676.0	0.0128205128205
KiA42.630527	53911.0	5638.0	0.104579770362
KiC21.630722	53964.0	10662.0	0.197576161886
KiC54.630505	54221.0	40902.0	0.754357167887
KiD73.630578	54513.0	39961.0	0.733054500761
KiA43.630562	55552.0	49993.0	0.899931595622
KiC44.630540	56170.0	34746.0	0.61858643404
KiA6.630487	57381.0	52733.0	0.918997577595
KiD16.630611	58483.0	21260.0	0.363524443001
KiC81.630509	58492.0	41357.0	0.707053956097
KiC15.630656	58785.0	31674.0	0.538810921153
KiD33.630601	58872.0	40861.0	0.694065090366
KiC51.630749	59060.0	51542.0	0.872705722994
KiD56.630579	59836.0	48524.0	0.810949929808
KiC34.630627	60088.0	38868.0	0.646851284782
KiD34.630501	60153.0	48944.0	0.813658504148
KiD67.630534	60352.0	48721.0	0.807280620361
KiC58.630674	60539.0	38307.0	0.632765655197
KiD6.630495	61550.0	56394.0	0.916230706742
KiD13.630513	62174.0	57335.0	0.922170038923
KiC82.630493	62331.0	51022.0	0.818565400844
KiB2.630617	62379.0	57745.0	0.925712178778
KiD60.630574	63323.0	24243.0	0.382846674984
KiD36.630502	64253.0	40358.0	0.628110749693
KiD42.630733	66268.0	59175.0	0.892964930283
KiA27.630494	68191.0	27472.0	0.40286841372
KiD43.630484	69789.0	64473.0	0.923827537291
KiC22.630644	69791.0	50677.0	0.726125145076
KiA45.630721	69837.0	63806.0	0.913641765826
KiA50.630622	70382.0	61508.0	0.87391662641
KiC25.630586	70599.0	13517.0	0.191461635434
KiA8.630724	71064.0	43718.0	0.61519193966
KiB49.630735	71471.0	28345.0	0.396594422913
KiB52.630525	71492.0	42742.0	0.597857102893
KiC2.630567	72233.0	31264.0	0.432821563551
KiB57.630657	73393.0	28997.0	0.395092175003
KiC19.630588	73497.0	53361.0	0.726029633863
KiA7.630742	76075.0	36519.0	0.480039434768
KiC29.630745	76810.0	69726.0	0.907772425465
KiD25.630667	76812.0	57135.0	0.743829089205
KiC14.630728	76937.0	45186.0	0.587311696583
KiD75.630628	76987.0	46447.0	0.603309649681
KiA36.630531	77031.0	70948.0	0.921031792395
KiC55.630498	77184.0	61817.0	0.800904332504
KiA33.630490	77266.0	3347.0	0.0433178888515
KiA41.630606	77556.0	49661.0	0.640324410748
KiA55.630524	77627.0	62141.0	0.800507555361
KiD76.630729	77641.0	62737.0	0.808039566724
KiC42.630584	77992.0	68989.0	0.884565083598
KiB38.630520	78153.0	68121.0	0.871636405512
KiC26.630699	78624.0	66393.0	0.844436813187
KiD35.630583	78671.0	69470.0	0.883044578053
KiA11.630652	78679.0	6903.0	0.0877362447413
KiA65.630566	78981.0	28204.0	0.357098542687
KiA46.630472	79811.0	44758.0	0.56079988974
KiB61.630486	80165.0	68128.0	0.84984719017
KiA82.630565	80916.0	72896.0	0.900884868258
KiD29.630553	81029.0	58703.0	0.724469017265
KiD45.630706	81678.0	75165.0	0.920260045545
KiC45.630723	81907.0	72745.0	0.888141428694
KiA52.630551	82074.0	66424.0	0.809318419962
KiC33.630678	82432.0	53412.0	0.647952251553
KiC28.630485	82872.0	65339.0	0.78843276378
KiC52.630544	83748.0	61038.0	0.728829345178
KiC79.630711	83862.0	32760.0	0.39064176862
KiC16.630698	84711.0	23255.0	0.274521608764
KiC13.630689	84828.0	39342.0	0.46378554251
KiD57.630664	84997.0	35147.0	0.413508712072
KiA56.630666	85151.0	62529.0	0.73433077709
KiA37.630732	85226.0	75570.0	0.886701241405
KiD58.630739	85735.0	72890.0	0.850177873681
KiB40.630629	85901.0	52256.0	0.608328191756
KiA58.630476	85903.0	82033.0	0.954949186874
KiA19.630687	86538.0	53503.0	0.618260186277
KiD68.630528	87215.0	68955.0	0.790632345353
KiD9.630590	87420.0	77120.0	0.882177991306
KiC37.630708	87753.0	75811.0	0.863913484439
KiA74.630538	88231.0	61430.0	0.696240550373
KiA76.630707	88491.0	66983.0	0.756947034162
KiB42.630555	88538.0	77425.0	0.874483272719
KiA35.630631	88570.0	75660.0	0.854239584509
KiA51.630635	88774.0	73259.0	0.825230360241
KiD8.630653	88787.0	75264.0	0.847691666573
KiC30.630488	89332.0	80395.0	0.899957462052
KiD44.630603	89483.0	80791.0	0.902864231195
KiA10.630651	90196.0	422.0	0.00467869972061
KiB23.630569	90788.0	80316.0	0.884654359607
KiB1.630597	91468.0	2102.0	0.0229807145668
KiD7.630542	91770.0	82121.0	0.894856706985
KiD28.630589	93491.0	87326.0	0.934057823748
KiA44.630697	94006.0	79533.0	0.846041742016
KiC41.630646	94325.0	46985.0	0.498118208322
KiD59.630625	94364.0	81168.0	0.860158535035
KiD37.630587	94640.0	82779.0	0.874672442942
KiD38.630639	95263.0	64299.0	0.674962997176
KiC31.630483	95456.0	69409.0	0.727130824673
KiB37.630537	95804.0	73302.0	0.765124629452
KiD47.630685	96386.0	89012.0	0.923495113398
KiC35.630580	96523.0	84498.0	0.875418294085
KiC43.630616	97059.0	39823.0	0.410296829763
KiC1.630571	98824.0	23428.0	0.237067918724
KiC46.630516	98905.0	59099.0	0.597532986199
KiA53.630634	99518.0	85233.0	0.856458128178
KiB43.630469	99542.0	88774.0	0.891824556469
KiD63.630744	100309.0	86843.0	0.865754817614
KiD41.630604	100860.0	87246.0	0.86502082094
KiD27.630710	101287.0	93854.0	0.926614471749
KiA18.630738	101518.0	7007.0	0.069022242361
KiA81.630719	101769.0	14478.0	0.142263361141
KiA66.630467	102158.0	39276.0	0.384463282367
KiB59.630466	102472.0	86848.0	0.847529081115
KiD74.630683	102528.0	79661.0	0.776968242821
KiB51.630546	103166.0	94237.0	0.913450167691
KiB33.630737	105175.0	89343.0	0.849469931067
KiC56.630633	105415.0	93510.0	0.887065408149
KiB50.630645	105691.0	96230.0	0.910484336415
KiD62.630474	106151.0	57776.0	0.544281259715
KiA67.630471	106255.0	86748.0	0.816413345254
KiD31.630581	107583.0	33868.0	0.314808101652
KiA5.630694	109184.0	8653.0	0.079251538687
KiB44.630709	109509.0	95263.0	0.869910235688
KiD69.630642	109622.0	94604.0	0.863001952163
KiD39.630693	111524.0	86859.0	0.778836842294
KiA54.630703	112944.0	95382.0	0.844507012325
KiD61.630649	113544.0	100911.0	0.888739167195
KiC32.630714	113800.0	45223.0	0.397390158172
KiC48.630543	114053.0	29788.0	0.261176821302
KiB7.630510	114094.0	107958.0	0.946219783687
KiC12.630704	114786.0	68470.0	0.596501315491
KiB22.630499	115109.0	104297.0	0.906071636449
KiB47.630681	116443.0	102569.0	0.880851575449
KiC74.630600	116609.0	92159.0	0.790324932038
KiD40.630636	117809.0	95184.0	0.807951854273
KiA9.630554	118728.0	327.0	0.00275419446129
KiC80.630682	118865.0	40890.0	0.344003701678
KiC62.630705	119018.0	110267.0	0.926473306559
