2014-08-14 15:21:31

------------

28 samples in ../split_library_log/Jeon_korea_house_study_2025_split_library_log.txt
28 samples in ../otu_table_stats/Jeon_korea_house_study_2025_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
Tcul.7.1078787	330.0	287.0	0.869696969697
Rcul.4.1078786	608.0	385.0	0.633223684211
Tgen.8.1078778	1210.0	902.0	0.745454545455
Rcul.9.1078783	1279.0	960.0	0.750586395622
Tgen.3.1078776	1376.0	676.0	0.491279069767
Rcul.3.1078800	1467.0	1009.0	0.687798227676
Rgen.6.1078796	2037.0	579.0	0.284241531664
Tcul.6.1078781	2351.0	1892.0	0.804763930242
Rcul.7.1078773	2380.0	1993.0	0.837394957983
Tgen.1.1078795	3016.0	2059.0	0.682692307692
Rcul.6.1078792	3236.0	2516.0	0.777503090235
Rcul.2.1078799	4071.0	3445.0	0.846229427659
Tcul.1.1078775	4101.0	2885.0	0.703486954401
Tcul.3.1078785	4153.0	1738.0	0.418492655911
Tgen.12.1078784	4354.0	2002.0	0.459807073955
Tgen.10.1078774	4380.0	2147.0	0.490182648402
Tcul.5.1078791	5937.0	4209.0	0.708943911066
Rgen.8.1078789	6145.0	1938.0	0.315378356387
Tcul.4.1078788	6386.0	4970.0	0.778264954588
Tcul.2.1078782	7794.0	4082.0	0.523736207339
Rgen.7.1078779	7889.0	5051.0	0.640258587907
Rcul.11.1078797	7951.0	5360.0	0.674129040372
Tgen.13.1078793	8785.0	5313.0	0.604780876494
Rcul.1.1078777	9356.0	3445.0	0.368212911501
Rcul.5.1078790	13896.0	4370.0	0.314478986759
Rgen.10.1078794	19132.0	8805.0	0.460223708969
Rcul.8.1078780	21425.0	8236.0	0.384410735123
Rgen.9.1078798	24006.0	18473.0	0.769515954345
------------
Mean =  0.608041703622 percent of seqs made it into OTU table
SD =  0.176810345511
