2014-08-14 15:21:30

------------

30 samples in ../split_library_log/Kelley_Newborn_ICU_study_split_library_log.txt
30 samples in ../otu_table_stats/Kelley_Newborn_ICU_study_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
MIR11.660750	164.0	157.0	0.957317073171
MSO9.660758	594.0	554.0	0.93265993266
MIK12.660773	1292.0	1224.0	0.947368421053
MBR13.660762	1678.0	1603.0	0.955303933254
MBP17.660767	1720.0	1594.0	0.926744186047
MII5.660766	3149.0	2789.0	0.885677993014
MPK2.660771	3434.0	3274.0	0.953407105416
MBP4.660768	3443.0	3262.0	0.947429567238
MSS1.660763	3542.0	2506.0	0.707509881423
MWR16.660756	3744.0	3603.0	0.96233974359
MDB6.660747	4071.0	3812.0	0.936379267993
UDB19.660770	4673.0	4421.0	0.94607318639
MIW3.660761	4789.0	4463.0	0.931927333473
MSC8.660757	4960.0	4657.0	0.938911290323
MDB7.660769	5242.0	5038.0	0.961083555895
MWR15.660764	5801.0	5502.0	0.948457162558
MBD10.660775	5850.0	5635.0	0.963247863248
UPK18.660765	7476.0	7014.0	0.938202247191
UIW23.660774	7607.0	7332.0	0.963849086368
UDB31.660751	9261.0	8932.0	0.96447467876
MBT14.660752	9795.0	9200.0	0.939254721797
UWR20.660776	9989.0	9431.0	0.944138552408
UIK27.660759	11390.0	11001.0	0.965847234416
UWR21.660749	11890.0	11509.0	0.96795626577
UBD22.660753	13142.0	12693.0	0.965834728352
UIR24.660760	13451.0	12939.0	0.961935915545
UBT30.660772	19570.0	18841.0	0.962749105774
USO26.660754	19608.0	18896.0	0.963688290494
UII29.660748	20052.0	19360.0	0.965489726711
UBR25.660755	25242.0	24269.0	0.961453133666
------------
Mean =  0.942223706133 percent of seqs made it into OTU table
SD =  0.0467456251936
