2014-08-14 15:21:30

------------

55 samples in ../split_library_log/Kelley_office_contamination_split_library_log.txt
55 samples in ../otu_table_stats/Kelley_office_contamination_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
SFFP24.522462	144.0	122.0	0.847222222222
NYMP23.522448	227.0	216.0	0.95154185022
SFFP2.522486	352.0	338.0	0.960227272727
SFMP28.522450	536.0	522.0	0.973880597015
NYFC7.522459	723.0	686.0	0.948824343015
SFFC24.522467	1304.0	1215.0	0.931748466258
NYMC5.522451	1305.0	1187.0	0.909578544061
NYMC23.522436	1342.0	1288.0	0.959761549925
SFMC16.522482	1383.0	1296.0	0.937093275488
TUFC24.522438	1391.0	1351.0	0.971243709561
SFMC5.522444	1481.0	1306.0	0.881836596894
NYFC4.522466	1555.0	1475.0	0.948553054662
NYFP22.522470	1593.0	1513.0	0.949780288763
NYFP4.522464	1621.0	1561.0	0.962985811228
NYFP16.522442	1622.0	1514.0	0.933415536375
NYMP28.522461	1635.0	1569.0	0.959633027523
TUMC11.522440	1641.0	1626.0	0.990859232176
NYMP5.522445	1644.0	1478.0	0.89902676399
SFMC7.522456	1655.0	1481.0	0.894864048338
NYMP18.522453	1696.0	1566.0	0.923349056604
NYFC16.522479	1705.0	1558.0	0.913782991202
NYFC22.522465	1755.0	1578.0	0.899145299145
NYFP19.522441	1840.0	1648.0	0.895652173913
SFFC23.522471	1890.0	1752.0	0.926984126984
SFMP7.522455	1900.0	1783.0	0.938421052632
NYMP31.522449	1952.0	1882.0	0.964139344262
NYMC31.522475	1972.0	1545.0	0.783468559838
NYMC18.522437	1992.0	1892.0	0.949799196787
SFFP3.522454	2129.0	1970.0	0.925317050258
SFMP29.522452	2142.0	2082.0	0.971988795518
SFMC29.522447	2158.0	2043.0	0.946709916589
TUMP18.522485	2176.0	2025.0	0.930606617647
SFFC2.522476	2190.0	2056.0	0.938812785388
SFMP16.522460	2202.0	2151.0	0.976839237057
TUMC15.522483	2249.0	2098.0	0.932859048466
SFFP23.522478	2253.0	2156.0	0.95694629383
NYFP7.522477	2271.0	1948.0	0.857771906649
TUFP24.522463	2387.0	2353.0	0.985756179305
TUFP4.522432	2393.0	2319.0	0.969076473046
TUMC18.522481	2407.0	2249.0	0.934358122144
TUFC13.522473	2473.0	2255.0	0.911847957946
SFFC10.522446	2515.0	2268.0	0.901789264414
TUMP23.522457	2612.0	2542.0	0.973200612557
SFMC28.522435	2652.0	2595.0	0.97850678733
TUFP22.522474	2763.0	2731.0	0.988418385813
TUMP25.522443	2780.0	2733.0	0.98309352518
TUFC4.522468	2843.0	2716.0	0.955328877946
TUMP15.522439	2880.0	2806.0	0.974305555556
TUFC22.522433	2940.0	2855.0	0.971088435374
SFFC3.522434	2949.0	2729.0	0.925398440149
TUMP11.522458	2952.0	2912.0	0.986449864499
TUMC25.522469	3086.0	2974.0	0.963707064161
SFFP10.522484	3173.0	2721.0	0.857548061771
TUMC23.522480	4189.0	4115.0	0.982334686083
TUFC19.522472	34355.0	33771.0	0.983001018775
------------
Mean =  0.939452344641 percent of seqs made it into OTU table
SD =  0.0406948483006
