2014-08-14 15:21:31

------------

119 samples in ../split_library_log/Kembel_BELillis_dust_1of2_split_library_log.txt
208 samples in ../otu_table_stats/Kembel_BELillis_dust_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
S67	24659.0	21519.0	0.872663125025
S65	21961.0	17857.0	0.813123263968
S64	20206.0	17371.0	0.859695140057
S66	20080.0	17937.0	0.89327689243
S196	19408.0	17195.0	0.88597485573
S214	17936.0	15659.0	0.873048617306
S202	17499.0	16286.0	0.930681753243
S61	16625.0	15242.0	0.916812030075
S207	16400.0	15541.0	0.94762195122
S16	16385.0	14120.0	0.861763808361
S33	16346.0	13563.0	0.829744279946
S69	16157.0	15180.0	0.9395308535
S68	15998.0	13078.0	0.817477184648
S85	15753.0	13795.0	0.875706214689
S73	15718.0	11997.0	0.763265046444
S17	15554.0	13078.0	0.840812652694
S53	15477.0	13840.0	0.894230147961
S197	15452.0	13502.0	0.873802743981
S199	15281.0	12201.0	0.798442510307
S205	14928.0	14031.0	0.939911575563
S89	14889.0	12333.0	0.828329639331
S79	14803.0	12015.0	0.811659798689
S84	14689.0	12280.0	0.835999727687
S201	14405.0	13263.0	0.920721971538
S49	14314.0	13087.0	0.914279726142
S91	14190.0	12863.0	0.906483439042
S55	14173.0	12231.0	0.862978903549
S63	14052.0	12912.0	0.918872758326
S83	13971.0	12066.0	0.863646124114
S72	13894.0	12008.0	0.864257953073
S37	13756.0	12189.0	0.886086071532
S34	13693.0	11491.0	0.839187906229
S212	13504.0	11328.0	0.838862559242
S210	13474.0	9694.0	0.719459700163
S88	13410.0	11320.0	0.844146159582
SIntxx132xxD2	13380.0	11577.0	0.865246636771
S57	13321.0	11726.0	0.880264244426
S93	13287.0	11583.0	0.871754346354
S204	13271.0	11460.0	0.863537035642
S87	13229.0	10855.0	0.820545770655
S29	13186.0	11264.0	0.85423934476
S56	13147.0	11408.0	0.867726477523
S47	13085.0	11595.0	0.886129155522
S200	12870.0	11454.0	0.889976689977
S70	12866.0	10997.0	0.854733405876
S71	12854.0	11688.0	0.909288937296
S36	12766.0	10838.0	0.848973836754
S6	12733.0	10751.0	0.844341474908
S75	12722.0	10522.0	0.827071215218
S193	12668.0	10803.0	0.852778654878
S60	12472.0	11037.0	0.884942270686
S92	12356.0	10255.0	0.829961152477
S211	12282.0	10604.0	0.863377300114
S52	12190.0	11111.0	0.911484823626
S39	12024.0	11426.0	0.950266134398
S78	11994.0	10039.0	0.83700183425
S51	11958.0	10795.0	0.902742933601
S95	11828.0	10434.0	0.882144064931
S62	11782.0	10157.0	0.862077745714
S50	11769.0	10190.0	0.865833970601
S81	11648.0	10189.0	0.874742445055
S94	11486.0	9568.0	0.833014104127
S215	11421.0	9936.0	0.869976359338
S38	11291.0	9261.0	0.820210787353
S86	10979.0	8908.0	0.811367155479
S74	10946.0	9235.0	0.843687191668
S43	10867.0	9517.0	0.875770681881
S4	10831.0	8577.0	0.79189363863
SIntxx132xxD4	10785.0	7396.0	0.685767269356
S206	10780.0	9193.0	0.852782931354
S77	10767.0	9413.0	0.8742453794
S58	10675.0	8489.0	0.795222482436
S31	10654.0	8900.0	0.83536699831
S32	10538.0	8873.0	0.842000379579
S41	10500.0	9485.0	0.903333333333
S35	10257.0	9073.0	0.884566637418
S30	10062.0	8014.0	0.796461935997
SIntxx132xxD6	10055.0	8799.0	0.875087021382
S46	10006.0	8655.0	0.864981011393
S5	9955.0	8292.0	0.832948267202
S28	9909.0	8810.0	0.889090725603
S90	9766.0	8873.0	0.908560311284
S42	9618.0	8397.0	0.873050530256
S213	9487.0	8699.0	0.916938969116
S44	9217.0	7753.0	0.841163068243
S45	9122.0	7925.0	0.868778776584
S82	9075.0	7863.0	0.866446280992
S203	9045.0	8485.0	0.938087341072
SIntxx132xxD7	8996.0	7709.0	0.856936416185
SIntxx132xxD5	8933.0	7294.0	0.81652300459
S2	8479.0	7220.0	0.851515508904
S106xx2	8456.0	7044.0	0.833017975402
S26	8282.0	7153.0	0.863680270466
S40	8246.0	7157.0	0.867935968955
S7	8103.0	7238.0	0.893249413797
S104xx2	8080.0	7040.0	0.871287128713
SIntxx132xxD3	8065.0	7363.0	0.912957222567
S25	7945.0	7055.0	0.887979861548
S76	7896.0	6572.0	0.832320162107
S12	7866.0	6892.0	0.876175947114
S105xx2	7825.0	6551.0	0.837188498403
SIntxx132xxD9	7733.0	6367.0	0.823354454933
S194	7681.0	6451.0	0.839864600963
S15	7157.0	6025.0	0.841833170323
S19	7115.0	5906.0	0.830077301476
S3	7108.0	6187.0	0.870427687113
S18	7061.0	6070.0	0.859651607421
S10	6906.0	4884.0	0.707211120765
S14	6782.0	5526.0	0.814803892657
S27	6646.0	5618.0	0.84532049353
S24	6524.0	5558.0	0.851931330472
S22	6238.0	5545.0	0.888906700866
S21	6175.0	5305.0	0.859109311741
S9	5916.0	4944.0	0.83569979716
S20	2802.0	2499.0	0.891862955032
S216	36.0	32.0	0.888888888889
S54	19.0	17.0	0.894736842105
S96	11.0	9.0	0.818181818182
S48	6.0	3.0	0.5
------------
Mean =  0.856614856375 percent of seqs made it into OTU table
SD =  0.0542706697421
