2014-08-14 15:21:31

------------

89 samples in ../split_library_log/Lauber_88_soils_study_103_split_library_log.txt
89 samples in ../otu_table_stats/Lauber_88_soils_study_103_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
BB1.141690	2.0	1.0	0.5
GB5.141668	1246.0	655.0	0.525682182986
CF3.141691	1300.0	649.0	0.499230769231
HF2.141686	1307.0	755.0	0.57765876052
KP3.141658	1342.0	752.0	0.560357675112
CF2.141679	1366.0	596.0	0.436310395315
HI1.141693	1422.0	349.0	0.245428973277
RT2.141710	1447.0	713.0	0.492743607464
SR2.141673	1454.0	688.0	0.473177441541
LQ1.141701	1462.0	468.0	0.320109439124
MD3.141707	1464.0	628.0	0.428961748634
MD4.141660	1484.0	404.0	0.272237196765
PE1.141715	1495.0	685.0	0.458193979933
BP1.141702	1495.0	763.0	0.510367892977
JT1.141699	1496.0	664.0	0.44385026738
IT2.141720	1514.0	850.0	0.56142668428
SK3.141716	1514.0	770.0	0.50858652576
MP1.141661	1549.0	788.0	0.508715300194
SK2.141662	1552.0	767.0	0.494201030928
KP4.141733	1556.0	769.0	0.494215938303
LQ2.141729	1572.0	617.0	0.392493638677
SA1.141670	1585.0	699.0	0.441009463722
GB3.141652	1593.0	877.0	0.550533584432
TL3.141709	1603.0	765.0	0.477230193387
RT1.141654	1610.0	862.0	0.535403726708
CO3.141651	1616.0	778.0	0.481435643564
PE2.141725	1629.0	644.0	0.39533456108
CL2.141671	1639.0	808.0	0.492983526541
SR1.141680	1642.0	748.0	0.455542021924
DF3.141696	1643.0	797.0	0.485088253195
SK1.141669	1650.0	845.0	0.512121212121
HJ1.141718	1651.0	850.0	0.514839491217
AR1.141727	1656.0	802.0	0.484299516908
VC2.141694	1656.0	829.0	0.500603864734
PE6.141700	1665.0	696.0	0.418018018018
CC1.141721	1667.0	731.0	0.43851229754
AR3.141705	1668.0	831.0	0.498201438849
HJ2.141717	1671.0	821.0	0.491322561341
CA2.141685	1675.0	693.0	0.413731343284
BF2.141708	1677.0	827.0	0.493142516398
MP2.141695	1683.0	944.0	0.560903149138
CO2.141657	1685.0	801.0	0.475370919881
HI3.141676	1699.0	948.0	0.557975279576
HF1.141663	1703.0	905.0	0.531415149736
HI4.141735	1707.0	718.0	0.420620972466
SN1.141681	1708.0	732.0	0.428571428571
AR2.141703	1713.0	865.0	0.504962054874
SP2.141678	1723.0	636.0	0.36912362159
SR3.141674	1727.0	822.0	0.475969889983
BB2.141659	1728.0	827.0	0.478587962963
SF2.141677	1731.0	835.0	0.482380127094
CA1.141704	1739.0	854.0	0.491086831512
CR1.141682	1741.0	918.0	0.527283170592
SA2.141687	1748.0	790.0	0.451945080092
DF2.141726	1751.0	865.0	0.494003426613
TL1.141653	1753.0	952.0	0.543069024529
DF1.141684	1754.0	869.0	0.495438996579
IE2.141655	1757.0	983.0	0.559476380194
MT1.141719	1758.0	914.0	0.519908987486
CL1.141697	1764.0	883.0	0.500566893424
IT1.141711	1765.0	942.0	0.533711048159
PE5.141692	1775.0	795.0	0.447887323944
TL2.141706	1777.0	859.0	0.483398987057
KP1.141713	1791.0	874.0	0.487995533222
SV1.141649	1791.0	728.0	0.406476828587
HI2.141672	1802.0	749.0	0.415649278579
PE3.141731	1812.0	868.0	0.479028697572
SV2.141666	1817.0	764.0	0.42047330765
PE4.141683	1836.0	804.0	0.437908496732
SP1.141656	1836.0	866.0	0.471677559913
BF1.141647	1844.0	909.0	0.49295010846
SN3.141650	1853.0	705.0	0.38046411225
VC1.141722	1877.0	936.0	0.498668087373
CL4.141667	1885.0	877.0	0.46525198939
MT2.141698	1895.0	1065.0	0.562005277045
MD2.141689	1920.0	801.0	0.4171875
CM1.141723	1932.0	1024.0	0.530020703934
PE7.141734	1968.0	791.0	0.401930894309
IE1.141648	1975.0	977.0	0.494683544304
LQ3.141712	1985.0	767.0	0.386397984887
CO1.141714	2025.0	927.0	0.457777777778
MD5.141688	2051.0	990.0	0.482691370063
SF1.141728	2073.0	1042.0	0.502653159672
GB2.141732	2073.0	1113.0	0.536903039074
BZ1.141724	2109.0	1008.0	0.477951635846
CL3.141664	2139.0	1008.0	0.471248246844
CF1.141675	2242.0	909.0	0.405441570027
SB1.141730	2296.0	1240.0	0.540069686411
GB1.141665	2436.0	1092.0	0.448275862069
------------
Mean =  0.47403080496 percent of seqs made it into OTU table
SD =  0.0596443051853
