2014-08-14 15:21:32

------------

384 samples in ../split_library_log/Leff_40_homes_study_1772_split_library_log.txt
384 samples in ../otu_table_stats/Leff_40_homes_study_1772_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
H17Dh.735940	6.0	6.0	1.0
H39Do.729117	45.0	37.0	0.822222222222
H63Di.729229	5151.0	4245.0	0.824111822947
H20Tv.729104	5729.0	5080.0	0.886716704486
H13Do.729438	5744.0	5029.0	0.875522284123
H13Ts.729194	5984.0	5531.0	0.924298128342
H64Do.729200	6028.0	1306.0	0.216655607167
H13Fr.729158	6043.0	5746.0	0.950852225716
H60Tv.736007	6075.0	5815.0	0.957201646091
H13Dh.729479	6132.0	5358.0	0.873776908023
H13Di.729249	6215.0	5086.0	0.818342719228
blankMS6.729245	6254.0	5692.0	0.910137511992
H31Tv.729336	6263.0	5709.0	0.911543988504
H32Di.729453	6380.0	3246.0	0.508777429467
H38Tv.729407	6508.0	5927.0	0.910725261217
H55Cb.735989	6602.0	5768.0	0.873674644047
blankMS4.729216	6604.0	5880.0	0.890369473047
H20Pc.729202	6827.0	6368.0	0.932766954739
H20Ts.729120	6872.0	6295.0	0.916036088475
H32Dh.729333	6884.0	6045.0	0.878123184195
H31Do.729361	6887.0	5474.0	0.794830840714
H31Dh.729171	6918.0	6117.0	0.884215091067
blankMS1.729481	6955.0	6324.0	0.909273903666
H13Pc.729329	6990.0	6372.0	0.911587982833
H30Di.729303	7034.0	6292.0	0.894512368496
blankMS5.729397	7153.0	6433.0	0.899342933035
H13Tv.729366	7229.0	6717.0	0.929174159635
H30Fr.729368	7250.0	7000.0	0.965517241379
H14Pc.729265	7252.0	6583.0	0.907749586321
H29Dh.729466	7259.0	6374.0	0.878082380493
H38Do.729192	7312.0	5850.0	0.800054704595
H14Ts.729371	7318.0	7013.0	0.958321945887
H31Di.729210	7358.0	6280.0	0.853492796956
H27Cb.729305	7383.0	6563.0	0.888934037654
H29Tv.729251	7400.0	6486.0	0.876486486486
H29Di.729450	7417.0	6478.0	0.873398948362
H29Pc.729294	7425.0	6548.0	0.881885521886
H14Kc.729124	7437.0	6694.0	0.900094123975
H14Cb.729167	7470.0	6960.0	0.931726907631
H32Fr.729119	7511.0	6824.0	0.908534149913
blankMS2.729322	7520.0	6690.0	0.889627659574
H13Cb.729458	7572.0	6675.0	0.881537242472
H32Tv.729283	7578.0	6264.0	0.826603325416
H31Ts.729405	7579.0	6944.0	0.916215859612
blankMS3.729177	7647.0	6775.0	0.885968353603
H31Fr.729182	7669.0	6699.0	0.87351675577
H27Ts.729226	7689.0	1168.0	0.151905319287
H20Dh.729381	7748.0	6840.0	0.882808466701
H31Kc.729172	7779.0	6950.0	0.893431032266
H20Kc.729462	7792.0	6919.0	0.88796201232
H38Dh.729351	7814.0	6638.0	0.849500895828
H29Ts.729131	7814.0	6172.0	0.789864346046
H14Dh.729129	7820.0	6482.0	0.828900255754
H14Di.729198	7828.0	6515.0	0.832268778743
H32Kc.729360	7857.0	7165.0	0.911925671376
H32Pc.729413	7870.0	7091.0	0.901016518424
blankMS9.729382	7881.0	6993.0	0.887323943662
H27Dh.729211	7881.0	6926.0	0.878822484456
H38Di.729282	7944.0	6292.0	0.792044310171
H30Do.729161	7998.0	7074.0	0.884471117779
H38Kc.729355	8037.0	7365.0	0.916386711459
H20Do.729362	8041.0	5995.0	0.745554035568
H38Fr.729175	8074.0	7459.0	0.923829576418
H29Do.729105	8079.0	876.0	0.108429261047
H29Kc.729454	8094.0	7353.0	0.908450704225
H30Dh.729439	8139.0	6121.0	0.752057992382
H32Cb.729349	8169.0	7592.0	0.929367119598
H30Tv.729339	8169.0	6697.0	0.819806585873
H29Cb.729142	8176.0	7287.0	0.891267123288
H31Cb.729276	8196.0	7229.0	0.882015617374
H27Do.729248	8205.0	5144.0	0.626934795856
H27Pc.729169	8221.0	7290.0	0.886753436322
H14Tv.729399	8237.0	7133.0	0.865970620371
H27Di.729181	8248.0	6193.0	0.750848690592
H29Fr.729266	8270.0	6986.0	0.844740024184
H13Kc.729422	8283.0	7803.0	0.942049981891
H38Ts.729270	8309.0	7678.0	0.92405825009
H20Fr.729281	8348.0	7382.0	0.884283660757
H30Kc.729269	8366.0	7615.0	0.910231890987
H28Tv.729460	8427.0	7676.0	0.910881689807
H28Di.729363	8476.0	7543.0	0.889924492685
H27Kc.729239	8507.0	7556.0	0.888209709651
H57Dh.735975	8533.0	7415.0	0.868979257002
H32Do.729302	8579.0	2602.0	0.303298752768
H14Do.729424	8602.0	6510.0	0.756800744013
H30Pc.729173	8641.0	8197.0	0.948617058211
H20Di.729140	8647.0	7241.0	0.837400254423
H31Pc.729375	8649.0	8023.0	0.927621690369
H28Kc.729112	8719.0	7973.0	0.914439729327
H27Fr.729274	8731.0	8206.0	0.939869430764
H28Pc.729463	8770.0	8055.0	0.918472063854
H28Ts.729482	8770.0	8207.0	0.935803876853
H32Ts.729455	8778.0	8278.0	0.943039416724
H15Tv.729290	8870.0	7806.0	0.880045095829
H38Cb.729299	8944.0	7731.0	0.864378354204
H28Cb.729323	9032.0	8187.0	0.906443755536
H27Tv.729393	9072.0	7157.0	0.788910934744
H48Kc.729267	9077.0	8116.0	0.894128015864
H38Pc.729233	9157.0	8196.0	0.895052964945
H28Dh.729232	9196.0	8014.0	0.871465854719
H28Fr.729189	9348.0	8581.0	0.917950363714
H14Fr.729334	9371.0	8791.0	0.938106925622
H20Cb.729254	9524.0	8887.0	0.933116337673
H45Cb.735913	9529.0	8787.0	0.922132437821
H64Fr.729185	9639.0	8546.0	0.88660649445
H48Dh.729468	9680.0	8506.0	0.878719008264
H39Cb.729470	9717.0	8649.0	0.890089533807
H30Cb.729409	9721.0	9204.0	0.946816171176
H33Dh.729183	9925.0	8564.0	0.862871536524
H26Ts.729406	10025.0	8821.0	0.879900249377
H48Cb.729199	10092.0	9359.0	0.927368212446
H49Dh.729411	10098.0	9193.0	0.910378292731
H49Tv.729153	10135.0	8904.0	0.878539713863
blankMS10.729437	10139.0	8897.0	0.877502712299
H33Tv.729432	10156.0	9452.0	0.930681370618
H26Dh.729402	10231.0	9256.0	0.904701397713
H26Pc.729184	10231.0	9555.0	0.933926302414
H28Do.729324	10231.0	3747.0	0.366239859251
H40Do.729442	10233.0	8990.0	0.878530245285
blankMS8.729331	10240.0	9104.0	0.8890625
H48Fr.729208	10265.0	9567.0	0.932001948368
H36Pc.729147	10285.0	9536.0	0.927175498298
blankMS7.729374	10297.0	9109.0	0.884626590269
H33Kc.729241	10356.0	9387.0	0.906431054461
H48Pc.729162	10373.0	9652.0	0.930492625084
H22Dh.735902	10385.0	9850.0	0.948483389504
H64Cb.729328	10397.0	9303.0	0.894777339617
H15Ts.729224	10409.0	9781.0	0.93966759535
H63Kc.729228	10497.0	9008.0	0.858149947604
H33Ts.729160	10532.0	9675.0	0.918628940372
blankMS11.729445	10534.0	9240.0	0.877159673438
H15Fr.729307	10550.0	9669.0	0.916492890995
H33Di.729420	10642.0	8218.0	0.772223266303
H51Dh.735983	10653.0	9542.0	0.895710128602
H49Kc.729246	10671.0	9777.0	0.916221535001
H39Fr.729380	10705.0	9775.0	0.91312470808
H15Do.729325	10724.0	5229.0	0.487597911227
H22Pc.736019	10779.0	10289.0	0.954541237592
blankHS12.735979	10791.0	10653.0	0.987211565193
H64Kc.729150	10825.0	8968.0	0.828452655889
H15Di.729148	10908.0	9542.0	0.874770810414
H33Do.729288	10919.0	8579.0	0.785694660683
H26Do.729195	10948.0	8617.0	0.787084398977
H15Dh.729275	10976.0	9792.0	0.892128279883
H39Dh.729136	11000.0	9526.0	0.866
H48Di.729326	11071.0	8947.0	0.808147412158
H49Ts.729108	11082.0	10357.0	0.934578595921
H26Di.729412	11096.0	8707.0	0.784697188176
H39Pc.729345	11099.0	9715.0	0.875304081449
H39Di.729398	11113.0	9373.0	0.843426617475
H63Tv.729384	11145.0	9833.0	0.882279048901
H15Pc.729205	11187.0	10416.0	0.931080718691
blankHS11.735990	11188.0	10801.0	0.965409367179
H26Tv.729127	11207.0	9929.0	0.885964129562
H36Do.729135	11266.0	5215.0	0.462897212853
H36Dh.729201	11268.0	9437.0	0.837504437345
H40Di.729427	11269.0	9955.0	0.88339692963
H49Cb.729446	11324.0	9832.0	0.868244436595
H25Fr.735942	11325.0	10674.0	0.942516556291
H36Cb.729400	11327.0	10546.0	0.931049704246
H48Tv.729146	11354.0	10038.0	0.884093711467
H63Dh.729359	11409.0	9351.0	0.819616092559
H40Fr.729193	11419.0	10151.0	0.888957001489
H49Pc.729190	11509.0	10480.0	0.910591710835
H15Cb.729354	11534.0	10888.0	0.943991676782
H33Pc.729419	11594.0	10743.0	0.926599965499
H26Cb.729197	11673.0	10009.0	0.857448813501
H33Cb.729297	11696.0	10537.0	0.90090629275
H62Cb.735970	11718.0	9974.0	0.851169141492
H26Kc.729408	11842.0	9804.0	0.827900692451
H64Pc.729191	11883.0	10349.0	0.87090801986
H63Ts.729196	11894.0	10818.0	0.909534218934
H63Pc.729387	11908.0	10145.0	0.851948270071
H36Di.729101	11985.0	9614.0	0.80216937839
H33Fr.729116	12012.0	10586.0	0.881285381285
blankHS1.736003	12042.0	11365.0	0.943780102973
blankHS9.735999	12135.0	10638.0	0.876637824475
H36Tv.729461	12140.0	9638.0	0.793904448105
H49Fr.729457	12196.0	10963.0	0.898901279108
H63Cb.729252	12209.0	11176.0	0.915390285855
H40Tv.729352	12322.0	10708.0	0.869014770329
H64Dh.729306	12331.0	10274.0	0.833184656557
H40Cb.729264	12332.0	10997.0	0.891745053519
H39Tv.729262	12397.0	10578.0	0.85327095265
H49Di.729137	12411.0	10905.0	0.87865603094
H64Ts.729144	12430.0	10580.0	0.851166532582
H40Dh.729447	12453.0	10956.0	0.879788002891
H36Fr.729221	12475.0	11336.0	0.90869739479
H62Dh.735881	12555.0	11416.0	0.909279171645
H63Fr.729157	12612.0	12103.0	0.959641611164
H48Do.729346	12647.0	3589.0	0.283782715268
H49Do.729128	12648.0	6551.0	0.517947501581
H40Pc.729291	12697.0	11554.0	0.909978735134
H56Kc.735888	12723.0	10582.0	0.831722078126
H36Kc.729163	13012.0	11188.0	0.859821703043
H59Dh.735967	13083.0	12414.0	0.948864939234
blankHS7.736016	13175.0	12429.0	0.943377609108
H55Di.736023	13207.0	11770.0	0.891194063754
H61Dh.735934	13284.0	11481.0	0.864272809395
H40Kc.729310	13315.0	12696.0	0.953511077732
H22Kc.735911	13340.0	13175.0	0.987631184408
H26Fr.729316	13448.0	12430.0	0.924301011303
H48Ts.729342	13504.0	12325.0	0.912692535545
H64Tv.729152	13525.0	11874.0	0.877929759704
blankHS2.735882	13644.0	12198.0	0.894019349164
H47Fr.735880	13731.0	13086.0	0.953025999563
H25Dh.735938	13808.0	13407.0	0.970958864426
H39Ts.729234	13855.0	12578.0	0.907831107903
H63Do.729390	13917.0	8285.0	0.595315082273
H36Ts.729110	13917.0	12784.0	0.918588776317
H64Di.729436	13942.0	11561.0	0.829221058672
blankHS5.735953	13979.0	13633.0	0.975248587166
H62Di.735898	13983.0	12505.0	0.894300221698
H25Tv.735968	14039.0	13792.0	0.982406154284
H60Dh.736063	14077.0	12111.0	0.860339560986
H40Ts.729227	14122.0	13350.0	0.945333522164
H39Kc.729125	14361.0	13575.0	0.945268435346
H18Dh.736013	14372.0	12899.0	0.897509045366
H15Kc.729115	14456.0	13485.0	0.93283065855
H25Cb.735948	14471.0	13724.0	0.948379517656
H56Dh.736028	14489.0	12131.0	0.837255849265
H17Pc.735974	14620.0	14165.0	0.968878248974
blankHS6.736056	14916.0	13689.0	0.917739340306
H25Do.736036	14960.0	12368.0	0.826737967914
H47Cb.736014	14964.0	14317.0	0.956762897621
blankHS3.735874	14975.0	13387.0	0.893956594324
blankHS8.735977	15062.0	13928.0	0.924711193733
H22Do.735958	15074.0	10907.0	0.723563752156
H34Fr.736058	15137.0	14715.0	0.972121292198
H55Dh.735892	15476.0	14417.0	0.931571465495
H56Cb.736044	15596.0	14877.0	0.953898435496
H45Ts.735991	15870.0	15121.0	0.952804032766
H61Kc.735951	16227.0	15479.0	0.953903987182
H17Di.736051	16274.0	14370.0	0.883003563967
blankHS10.735987	16343.0	15305.0	0.936486569173
H22Cb.735875	16365.0	14860.0	0.908035441491
H30Ts.729165	16662.0	15598.0	0.936142119794
H19Do.735980	17326.0	11455.0	0.66114509985
H57Fr.736057	17449.0	13935.0	0.798613101037
blankMS12.729286	17520.0	15311.0	0.873915525114
H19Fr.735936	17761.0	17451.0	0.982546027814
blankHS4.736052	17851.0	15510.0	0.868858887457
H41Di.736046	17884.0	15184.0	0.849027063297
H17Do.735947	17975.0	14671.0	0.816189151599
H43Fr.736000	18019.0	17585.0	0.97591431267
H35Dh.735963	18059.0	15475.0	0.856913450357
H60Ts.735900	18064.0	15549.0	0.860772807795
H55Do.735971	18189.0	16367.0	0.899829567321
H45Fr.735904	18192.0	17580.0	0.96635883905
H47Dh.735982	18212.0	9273.0	0.509169778168
H43Do.735914	18290.0	4963.0	0.271350464735
H34Cb.735908	18327.0	17421.0	0.950564740547
H19Dh.736022	18338.0	17911.0	0.976715017995
H19Cb.735933	18339.0	17714.0	0.965919624843
H57Tv.735984	18479.0	16807.0	0.909518913361
H41Kc.736021	18697.0	17802.0	0.952131357972
H25Di.735959	18705.0	13161.0	0.703608660786
H22Di.735909	18757.0	16760.0	0.893533080983
H43Di.735941	18849.0	16267.0	0.863016605655
H41Do.736055	18885.0	14479.0	0.766693142706
H17Tv.736053	18954.0	18160.0	0.958109106257
H23Kc.736033	19027.0	14129.0	0.742576338887
H18Ts.736040	19070.0	18773.0	0.984425799685
H62Fr.735950	19140.0	18685.0	0.976227795193
H60Pc.735957	19166.0	18233.0	0.951320045915
H17Cb.735893	19168.0	18912.0	0.986644407346
H56Pc.735885	19194.0	17394.0	0.906220693967
H59Ts.735922	19201.0	18501.0	0.963543565439
H51Fr.735903	19207.0	18619.0	0.969386161295
H18Tv.735876	19220.0	17246.0	0.897294484912
H47Di.735993	19257.0	17172.0	0.89172768344
H41Fr.736015	19309.0	18789.0	0.973069553058
H22Ts.735921	19310.0	18685.0	0.967633350596
H47Tv.735960	19369.0	17643.0	0.910888533223
H41Tv.735998	19399.0	18239.0	0.940203103253
H45Dh.736017	19784.0	17444.0	0.881722604125
H34Pc.735935	19859.0	18709.0	0.942091746815
H47Pc.735965	19885.0	19075.0	0.959265778225
H59Tv.736037	19942.0	17703.0	0.887724400762
H23Di.735946	19957.0	14517.0	0.727413939971
H43Dh.736029	19985.0	18343.0	0.917838378784
H59Cb.735956	19995.0	16421.0	0.821255313828
H60Fr.736020	19996.0	19327.0	0.966543308662
H55Tv.735907	20104.0	16791.0	0.835206923995
H62Pc.736048	20195.0	19515.0	0.966328299084
H35Fr.735894	20234.0	19422.0	0.959869526539
H17Ts.735919	20249.0	19885.0	0.982023803645
H61Ts.736065	20272.0	19432.0	0.958563535912
H19Kc.735976	20273.0	19651.0	0.969318798402
H60Kc.735997	20372.0	19673.0	0.965688199489
H35Tv.736025	20458.0	18810.0	0.919444716004
H18Pc.736024	20495.0	17956.0	0.876116125884
H41Dh.736012	20514.0	20044.0	0.977088817393
H35Do.736054	20532.0	12041.0	0.586450418858
H56Ts.736038	20545.0	15105.0	0.735215380871
H51Ts.736049	20566.0	18867.0	0.917387921813
H51Pc.736018	20655.0	19999.0	0.96824013556
H23Tv.735916	20712.0	16199.0	0.782106991116
H51Di.735910	20721.0	18839.0	0.909174267651
H56Fr.736041	20787.0	19201.0	0.923702313946
H47Do.735925	20803.0	8015.0	0.385280969091
H23Dh.736047	20904.0	19993.0	0.956419823957
H57Ts.735995	21024.0	19981.0	0.950390030441
H34Dh.735889	21063.0	19488.0	0.925224327019
H47Ts.735937	21070.0	20029.0	0.95059326056
H45Kc.735996	21103.0	19039.0	0.902194000853
H61Pc.736060	21107.0	19863.0	0.941062206851
H34Kc.735939	21140.0	20489.0	0.969205298013
H57Di.735954	21232.0	18892.0	0.889788997739
H25Pc.735901	21247.0	20766.0	0.97736150986
H18Do.735896	21334.0	18082.0	0.847567263523
H19Ts.735915	21394.0	20722.0	0.96858932411
H56Tv.736008	21471.0	18485.0	0.860928694518
H18Fr.735920	21482.0	20844.0	0.970300716879
H19Di.735897	21745.0	19332.0	0.88903196137
H56Di.736010	21772.0	19452.0	0.893441117031
H55Kc.735962	21817.0	20463.0	0.937938304992
H51Tv.736045	21911.0	14710.0	0.671352288805
H45Pc.735944	21931.0	19782.0	0.902010852218
H51Do.735905	22065.0	7316.0	0.331565828235
H45Do.735878	22115.0	1256.0	0.0567940312005
H45Di.735943	22125.0	18448.0	0.833807909605
H25Kc.735912	22132.0	21018.0	0.949665642509
H55Ts.735981	22200.0	19463.0	0.876711711712
H43Cb.735994	22202.0	21206.0	0.955139176651
H22Fr.735949	22246.0	21286.0	0.956846174593
H34Ts.736006	22332.0	21514.0	0.963370947519
H35Pc.736027	22499.0	21735.0	0.966042935242
H35Ts.735945	22586.0	17560.0	0.777472770743
H19Tv.736001	22586.0	20729.0	0.917780926237
H34Do.736005	22680.0	18864.0	0.831746031746
H23Do.736050	22697.0	6949.0	0.306163810195
H18Di.736030	22742.0	20002.0	0.879518072289
H62Tv.736034	22800.0	21036.0	0.922631578947
H51Kc.735988	22804.0	21791.0	0.955577968777
H34Tv.735918	22878.0	20049.0	0.876344086022
