2014-08-14 15:21:32

------------

104 samples in ../split_library_log/Meadow_BELillis_3of4_split_library_log.txt
322 samples in ../otu_table_stats/Meadow_BELillis_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
air304	64343.0	58908.0	0.915530826974
air302	54140.0	48091.0	0.888271148873
air244	41198.0	37932.0	0.920724307005
air245	36702.0	33523.0	0.913383466841
air246	35819.0	32984.0	0.920852061755
air305	33041.0	30195.0	0.913864592476
air249	29409.0	25676.0	0.87306606821
x11	28756.0	25585.0	0.889727361246
x7	28333.0	25290.0	0.892598736456
air243	28272.0	26112.0	0.923599320883
x12	26018.0	24410.0	0.9381966331
x4	25254.0	23028.0	0.911855547636
x2	25251.0	23061.0	0.913270761554
air308	24440.0	22346.0	0.914320785597
air307	23899.0	21985.0	0.91991296707
air273	22902.0	20229.0	0.883285302594
x8	22879.0	20247.0	0.884960006993
x10	22802.0	20722.0	0.908779931585
air272	22532.0	21410.0	0.950204154092
air266	22233.0	20404.0	0.917734898574
air278	21721.0	19147.0	0.881497168639
air241	21331.0	19436.0	0.911162158361
x1	21274.0	19378.0	0.910877127009
air279	21180.0	18801.0	0.887677053824
air265	20814.0	19268.0	0.92572307101
air274	20449.0	19081.0	0.933101863172
air277	20024.0	17991.0	0.898471833799
air288	19948.0	18639.0	0.934379386405
x5	19237.0	17155.0	0.891771066175
air269	19052.0	17793.0	0.933917698929
air270	18817.0	17426.0	0.926077483127
air311	18708.0	16147.0	0.863106692324
air255	18581.0	17359.0	0.934233894839
air290	18502.0	16268.0	0.879256296617
air256	18324.0	16835.0	0.918740449683
air312	18195.0	16182.0	0.889365210223
x3	17937.0	16287.0	0.908011373139
air254	17892.0	16282.0	0.910015649452
air252	17874.0	16121.0	0.901924583193
air221	17808.0	15242.0	0.855907457323
air247	17536.0	16594.0	0.946281934307
air271	17424.0	16035.0	0.920282369146
air303	16906.0	15603.0	0.92292677156
air248	16874.0	15966.0	0.946189403817
air309	16667.0	14787.0	0.887202255955
air263	16616.0	15265.0	0.918692826192
air282	16600.0	15261.0	0.919337349398
x9	16577.0	15162.0	0.914640767328
air276	16475.0	14888.0	0.903672230653
air292	16158.0	14850.0	0.9190493873
air242	16044.0	13671.0	0.852094240838
air300	16042.0	14931.0	0.930744296222
air257	15795.0	14466.0	0.915859449193
air262	15362.0	13575.0	0.883674000781
air253	15250.0	13910.0	0.912131147541
air261	15220.0	13435.0	0.882720105125
air223	15192.0	13339.0	0.878027909426
air250	14977.0	13524.0	0.90298457635
air258	14770.0	13396.0	0.906973595125
air228	14319.0	13034.0	0.910259096306
air280	14285.0	12880.0	0.901645082254
air285	14253.0	12948.0	0.908440328352
air294	13953.0	12593.0	0.902529921881
air306	13914.0	12724.0	0.914474629869
air295	13732.0	13493.0	0.982595397611
air289	13465.0	9924.0	0.737021908652
air222	13142.0	12225.0	0.930223710242
air293	13128.0	11744.0	0.894576477757
air268	12910.0	11716.0	0.907513555383
air226	12364.0	10397.0	0.840909090909
air264	12359.0	11094.0	0.89764544057
air299	12298.0	11113.0	0.903642868759
air251	11797.0	10521.0	0.891836907688
x6	11718.0	8900.0	0.759515275644
air297	11665.0	10777.0	0.923874839263
air296	11535.0	10473.0	0.907932379714
air229	11322.0	10084.0	0.890655361244
air227	11185.0	9817.0	0.877693339294
air298	11030.0	10211.0	0.925747960109
air260	10919.0	9873.0	0.904203681656
air284	10337.0	9599.0	0.928605978524
air225	9989.0	9101.0	0.911102212434
air230	9757.0	8830.0	0.904991288306
air287	9282.0	8434.0	0.908640379229
air275	9213.0	8415.0	0.913383262781
air224	9134.0	8170.0	0.894460258375
air291	8868.0	8403.0	0.947564276049
air281	7148.0	6373.0	0.891578063794
air231	6219.0	5707.0	0.917671651391
air259	5644.0	5119.0	0.906980864635
air283	5267.0	4678.0	0.888171634707
air232	4918.0	4400.0	0.894672631151
air310	2249.0	2007.0	0.89239662072
air267	1310.0	1209.0	0.922900763359
air286	420.0	387.0	0.921428571429
air240	89.0	75.0	0.842696629213
air236	88.0	78.0	0.886363636364
air237	86.0	77.0	0.895348837209
air238	79.0	71.0	0.898734177215
air235	69.0	63.0	0.913043478261
air239	68.0	60.0	0.882352941176
air234	67.0	60.0	0.89552238806
air233	59.0	54.0	0.915254237288
air301	43.0	37.0	0.860465116279
------------
Mean =  0.902885655424 percent of seqs made it into OTU table
SD =  0.031236180735
