2014-08-14 15:21:32

------------

61 samples in ../split_library_log/Meadow_BELillis_surfaces_split_library_log.txt
61 samples in ../otu_table_stats/Meadow_BELillis_surfaces_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
Swab.162.16	29442.0	25704.0	0.873038516405
Swab.162.52	24957.0	23191.0	0.929238289859
Swab.162.53	24464.0	24191.0	0.988840745585
Swab.162.60	23387.0	22184.0	0.94856116646
Swab.162.11	23328.0	21915.0	0.939429012346
Swab.162.48	22877.0	20987.0	0.917384272413
Swab.162.54	22466.0	21003.0	0.934879373275
Swab.162.46	22211.0	17353.0	0.781279546171
Swab.162.56	22081.0	20642.0	0.934830850052
Swab.162.12	21282.0	19284.0	0.906117846067
Swab.162.47	21132.0	19535.0	0.924427408669
Swab.162.13	21049.0	19136.0	0.909116822652
Swab.162.61	19888.0	19555.0	0.983256234916
Swab.162.55	19791.0	19322.0	0.976302359658
Swab.162.39	19665.0	18164.0	0.923671497585
Swab.162.15	19488.0	18089.0	0.928212233169
Swab.162.14	19436.0	16649.0	0.856606297592
Swab.162.50	19416.0	18427.0	0.94906262876
Swab.162.24	18725.0	16753.0	0.894686248331
Swab.162.20	18391.0	16510.0	0.897721711707
Swab.162.37	18303.0	17097.0	0.934109162432
Swab.162.43	17955.0	16997.0	0.94664438875
Swab.162.49	17591.0	16370.0	0.930589505997
Swab.162.57	17349.0	16369.0	0.943512594386
Swab.162.45	17339.0	15939.0	0.919257165927
Swab.162.9	17029.0	15100.0	0.886722649598
Swab.162.21	16984.0	13823.0	0.813883655205
Swab.162.44	16912.0	15422.0	0.911896877956
Swab.162.10	16515.0	14441.0	0.874417196488
Swab.162.59	16379.0	15918.0	0.971854203553
Swab.162.18	15840.0	14506.0	0.915782828283
Swab.162.41	15832.0	14410.0	0.910181910056
Swab.162.40	15817.0	14933.0	0.944110766896
Swab.162.17	15748.0	14620.0	0.928371856744
Swab.162.34	15405.0	13409.0	0.870431678027
Swab.162.33	15242.0	14456.0	0.948431964309
Swab.162.36	14611.0	13229.0	0.905413729382
Swab.162.32	14067.0	12739.0	0.905594654155
Swab.162.58	13949.0	13031.0	0.934188830741
Swab.162.42	13491.0	13006.0	0.964050107479
Swab.162.28	13306.0	11862.0	0.891477528934
Swab.162.19	13170.0	11739.0	0.891343963554
Swab.162.30	12737.0	11105.0	0.871869356991
Swab.162.35	12456.0	10669.0	0.856535003211
Swab.162.23	12183.0	10670.0	0.875810555692
Swab.162.51	12019.0	11887.0	0.989017389134
Swab.162.38	11702.0	11054.0	0.944624850453
Swab.162.29	11104.0	10027.0	0.903007925072
Swab.162.8	11048.0	9581.0	0.867215785663
Swab.162.25	10942.0	9784.0	0.894169256077
Swab.162.4	10682.0	9859.0	0.922954502902
Swab.162.22	9540.0	8975.0	0.940775681342
Swab.162.5	9221.0	8276.0	0.897516538336
Swab.162.3	8906.0	8087.0	0.908039523916
Swab.162.6	8536.0	7396.0	0.866447985005
Swab.162.31	8316.0	7560.0	0.909090909091
Swab.162.1	8220.0	8041.0	0.978223844282
Swab.162.27	7686.0	6783.0	0.882513661202
Swab.162.26	7673.0	6790.0	0.884921152092
Swab.162.2	7587.0	7250.0	0.955581916436
Swab.162.7	5917.0	5166.0	0.873077573094
------------
Mean =  0.914103667058 percent of seqs made it into OTU table
SD =  0.03995041164
