2014-08-14 15:21:35

------------

1069 samples in ../split_library_log/Song_2012_family_study_study_797_split_library_log.txt
1069 samples in ../otu_table_stats/Song_2012_family_study_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
36.HB.LeftPalm.374623	1.0	1.0	1.0
06.HB.RightPalm.374904	1.0	1.0	1.0
44.HD.LeftPalm.374615	5.0	3.0	0.6
40.HB.LeftPalm.374622	14.0	11.0	0.785714285714
71.HB.LeftPalm.375179	22.0	1.0	0.0454545454545
46.CB.FrontLeftPaw.374515	57.0	42.0	0.736842105263
14.HA.LeftPalm.374887	179.0	126.0	0.703910614525
1239.RightPalm.374643	189.0	155.0	0.820105820106
1239.LeftPalm.374382	210.0	22.0	0.104761904762
35.HB.RightPalm.375294	255.0	250.0	0.980392156863
50.CA.FrontLeftPaw.374795	286.0	127.0	0.444055944056
26.CA.Forehead.374830	303.0	72.0	0.237623762376
03.CA.FrontLeftPaw.374637	364.0	75.0	0.206043956044
1075.RightPalm.374550	417.0	4.0	0.00959232613909
69.HA.Stool.374826	517.0	495.0	0.957446808511
12.HD.LeftPalm.374355	574.0	110.0	0.191637630662
18.CC.BackRightPaw.374540	665.0	384.0	0.577443609023
59.HC.LeftPalm.374599	725.0	389.0	0.536551724138
1282.LeftPalm.375365	727.0	131.0	0.180192572215
64.HA.LeftPalm.374756	760.0	240.0	0.315789473684
18.CA.BackRightPaw.375002	789.0	617.0	0.782002534854
07.HB.LeftPalm.374401	793.0	576.0	0.726355611602
49.HA.Forehead.375062	810.0	522.0	0.644444444444
71.CB.Forehead.374519	825.0	706.0	0.855757575758
1282.RightPalm.375106	874.0	578.0	0.661327231121
1318.Forehead.375364	893.0	506.0	0.566629339306
50.HB.RightPalm.374751	1018.0	854.0	0.838899803536
06.CA.Forehead.374639	1042.0	902.0	0.865642994242
23.HB.LeftPalm.374889	1109.0	1017.0	0.917042380523
59.HA.Forehead.374802	1200.0	107.0	0.0891666666667
45.HA.Forehead.375267	1274.0	726.0	0.569858712716
18.CB.BackRightPaw.374822	1281.0	546.0	0.426229508197
18.HA.RightPalm.374510	1323.0	51.0	0.0385487528345
71.CB.BackLeftPaw.374847	1333.0	549.0	0.411852963241
61.HA.Forehead.374621	1401.0	1213.0	0.865810135617
42.HC.LeftPalm.374586	1418.0	1333.0	0.940056417489
44.HD.Forehead.374931	1533.0	482.0	0.31441617743
49.HA.LeftPalm.374836	1569.0	1450.0	0.924155513066
62.HA.LeftPalm.375268	1640.0	157.0	0.0957317073171
18.CB.BackLeftPaw.374893	1697.0	1176.0	0.692987625221
07.CB.FrontLeftPaw.374554	1707.0	666.0	0.390158172232
1265.RightPalm.375145	1736.0	1345.0	0.774769585253
18.CA.Forehead.374608	1755.0	1164.0	0.663247863248
52.HB.LeftPalm.374451	1758.0	322.0	0.183162684869
49.CA.FrontLeftPaw.374667	1759.0	656.0	0.372939169983
13.HA.RightPalm.375047	1853.0	1382.0	0.745817593092
71.CB.BackRightPaw.375167	1962.0	1649.0	0.840468909276
18.HA.LeftPalm.375019	2014.0	910.0	0.45183714002
764.Tongue.375042	2060.0	2002.0	0.971844660194
26.CA.FrontLeftPaw.374905	2066.0	244.0	0.118102613746
35.HD.Stool.375113	2084.0	1752.0	0.840690978887
62.HC.Tongue.374937	2123.0	2065.0	0.972680169571
17.HB.LeftPalm.374422	2190.0	2028.0	0.92602739726
57.CA.Forehead.375185	2292.0	1811.0	0.790139616056
27.CA.BackLeftPaw.375083	2325.0	231.0	0.0993548387097
05.HA.LeftPalm.374913	2358.0	243.0	0.103053435115
17.CA.FrontLeftPaw.374773	2427.0	1698.0	0.699629171817
07.CB.BackRightPaw.374499	2501.0	2087.0	0.834466213515
52.HA.LeftPalm.374562	2527.0	48.0	0.01899485556
02.HB.LeftPalm.374956	2658.0	1592.0	0.598946576373
03.HA.LeftPalm.375282	2664.0	1185.0	0.44481981982
49.HB.Forehead.375109	2682.0	2312.0	0.862043251305
18.CC.Forehead.375312	2708.0	2326.0	0.85893648449
36.HB.Forehead.375006	2709.0	2656.0	0.980435585087
17.HB.RightPalm.374708	2756.0	1758.0	0.637880986938
53.CA.BackLeftPaw.375266	2770.0	1699.0	0.613357400722
05.HC.RightPalm.375272	2825.0	236.0	0.0835398230088
59.HD.LeftPalm.375214	2845.0	1415.0	0.497363796134
46.HB.RightPalm.374831	2867.0	2672.0	0.931984652947
05.HC.LeftPalm.374736	2879.0	371.0	0.128864188954
41.HE.LeftPalm.375308	2926.0	2070.0	0.707450444293
48.HB.LeftPalm.374737	2945.0	2418.0	0.821052631579
1286.Forehead.374358	2980.0	2866.0	0.961744966443
17.CB.BackLeftPaw.374453	3014.0	2895.0	0.960517584605
764.Forehead.374995	3083.0	2937.0	0.95264352903
30.CA.FrontLeftPaw.375182	3125.0	2559.0	0.81888
30.HB.LeftPalm.374694	3131.0	2428.0	0.775471095497
1318.LeftPalm.375196	3194.0	2979.0	0.932686286788
52.HA.Forehead.374352	3226.0	1821.0	0.564476131432
1075.LeftPalm.375285	3229.0	1942.0	0.601424589656
23.HA.LeftPalm.375261	3233.0	2845.0	0.87998762759
1318.RightPalm.374415	3278.0	2863.0	0.873398413667
17.CB.FrontLeftPaw.374627	3334.0	2656.0	0.796640671866
03.CA.BackRightPaw.374424	3371.0	2750.0	0.815781667161
59.HA.LeftPalm.374790	3380.0	2401.0	0.710355029586
50.HB.Stool.374517	3426.0	3218.0	0.939287799183
373.RightPalm.374671	3427.0	3292.0	0.96060694485
18.CB.FrontLeftPaw.374527	3439.0	533.0	0.154986914801
02.HC.LeftPalm.374919	3443.0	2410.0	0.699970955562
390.RightPalm.374613	3450.0	3203.0	0.928405797101
13.HA.LeftPalm.375045	3473.0	2046.0	0.589116038007
18.HA.Forehead.374564	3491.0	3454.0	0.989401317674
390.LeftPalm.375334	3496.0	3224.0	0.922196796339
1204.RightPalm.375353	3516.0	3365.0	0.957053469852
1402.LeftPalm.374610	3521.0	3382.0	0.960522578813
71.HA.LeftPalm.374525	3527.0	3114.0	0.882903317267
07.HA.RightPalm.374516	3569.0	2401.0	0.672737461474
12.HC.RightPalm.375134	3572.0	2350.0	0.657894736842
63.HD.Forehead.374490	3599.0	2455.0	0.682133926091
1282.Forehead.374658	3608.0	2980.0	0.825942350333
12.HA.LeftPalm.374717	3625.0	2565.0	0.707586206897
46.HA.Forehead.375412	3661.0	1426.0	0.389511062551
17.HA.Forehead.374376	3681.0	3559.0	0.966856832383
1406.RightPalm.375100	3720.0	3548.0	0.95376344086
1148.RightPalm.374763	3742.0	3572.0	0.954569748797
49.CA.Stool.374725	3761.0	3412.0	0.907205530444
49.CB.Forehead.374494	3779.0	2897.0	0.766604921937
38.HB.RightPalm.375156	3795.0	3758.0	0.990250329381
62.HE.Forehead.374911	3840.0	2141.0	0.557552083333
19.HB.RightPalm.374844	3841.0	3270.0	0.851340796668
24.HB.RightPalm.374716	3869.0	1989.0	0.514086327216
48.CA.Tongue.375215	3876.0	3314.0	0.855005159959
27.CA.BackRightPaw.374872	3884.0	3316.0	0.853759011329
1249.Forehead.374955	3884.0	3485.0	0.897270854789
1053.Stool.374949	3900.0	3556.0	0.911794871795
1402.Stool.374651	3954.0	3713.0	0.939049064239
12.HD.RightPalm.374545	3974.0	2649.0	0.666582788123
52.CB.Tongue.374855	3998.0	3130.0	0.782891445723
51.HB.LeftPalm.374649	4070.0	3411.0	0.838083538084
27.CA.FrontLeftPaw.374758	4080.0	3052.0	0.748039215686
1253.Forehead.375115	4102.0	3879.0	0.945636274988
43.HC.RightPalm.375274	4123.0	4014.0	0.973562939607
71.CA.FrontLeftPaw.374926	4155.0	3304.0	0.795186522262
05.HB.LeftPalm.374874	4163.0	3282.0	0.788373768917
62.CA.BackLeftPaw.374683	4183.0	3138.0	0.750179297155
59.HB.LeftPalm.375350	4187.0	2704.0	0.645808454741
71.CB.FrontLeftPaw.375225	4305.0	1494.0	0.347038327526
53.HA.LeftPalm.375211	4311.0	3008.0	0.697749942009
56.CA.BackRightPaw.375201	4335.0	3513.0	0.810380622837
66.CA.BackRightPaw.375265	4340.0	3153.0	0.726497695853
764.RightPalm.374616	4348.0	4122.0	0.948022079117
49.CB.BackLeftPaw.374998	4380.0	2739.0	0.625342465753
1265.Forehead.374877	4466.0	3858.0	0.863860277653
29.HC.LeftPalm.374409	4496.0	3435.0	0.764012455516
12.HC.Stool.374498	4603.0	4027.0	0.874864218988
37.HB.Forehead.374909	4824.0	4729.0	0.980306799337
38.HB.Stool.375133	4881.0	4536.0	0.929317762754
48.HA.Forehead.374757	4891.0	4581.0	0.936618278471
17.CA.Forehead.374806	4909.0	4224.0	0.860460378896
06.CB.Tongue.374852	4945.0	4379.0	0.885540950455
1253.RightPalm.375125	4952.0	4724.0	0.953957996769
27.CA.Stool.374634	4963.0	4467.0	0.90006044731
62.HB.LeftPalm.375128	4992.0	4142.0	0.829727564103
41.HD.RightPalm.375235	5010.0	4812.0	0.960479041916
62.HC.Forehead.374591	5023.0	4296.0	0.855265777424
373.Stool.374884	5083.0	4748.0	0.934094038953
26.HC.LeftPalm.374570	5090.0	4473.0	0.878781925344
42.HC.Forehead.375012	5094.0	5045.0	0.990380840204
1286.LeftPalm.375286	5126.0	4949.0	0.965470152165
1249.Tongue.374785	5220.0	5065.0	0.97030651341
17.CA.BackLeftPaw.375361	5284.0	4356.0	0.824375473126
12.HD.Forehead.375107	5292.0	5186.0	0.979969765684
48.HA.Stool.375301	5389.0	4883.0	0.906105028762
