2014-08-14 15:22:00
studyName	sampleName	splitTotal	otuTableTotal	percentAssigned
Adams_university_homes_Summer.txt	Summer.3.Balcony	1462	393	0.268809849521
Adams_university_homes_Summer.txt	Summer.1.Balcony	1449	427	0.294685990338
Adams_university_homes_Summer.txt	Summer.5.Balcony	1393	357	0.256281407035
Adams_university_homes_Summer.txt	Summer.9.Balcony	1225	369	0.301224489796
Adams_university_homes_Summer.txt	Summer.2.Balcony	1175	426	0.362553191489
Adams_university_homes_Summer.txt	Summer.6.Balcony	1109	373	0.336339044184
Adams_university_homes_Summer.txt	Summer.5.Bedroom	820	417	0.508536585366
Adams_university_homes_Summer.txt	Summer.6.Bedroom	794	435	0.547858942065
Adams_university_homes_Summer.txt	Summer.6.K	770	421	0.546753246753
Adams_university_homes_Summer.txt	Summer.7.Balcony	750	217	0.289333333333
Adams_university_homes_Summer.txt	Summer.5.Bath	721	321	0.445214979196
Adams_university_homes_Summer.txt	Summer.6.Bath	700	385	0.55
Adams_university_homes_Summer.txt	Summer.1.Bedroom	697	379	0.543758967001
Adams_university_homes_Summer.txt	Summer.3.Bedroom	679	299	0.440353460972
Adams_university_homes_Summer.txt	Summer.2.Bath	677	374	0.552437223043
Adams_university_homes_Summer.txt	Summer.4.Bedroom	653	364	0.557427258806
Adams_university_homes_Summer.txt	Summer.5.LR	650	265	0.407692307692
Adams_university_homes_Summer.txt	Summer.4.Bath	624	286	0.458333333333
Adams_university_homes_Summer.txt	Summer.7.Bath	620	301	0.485483870968
Adams_university_homes_Summer.txt	Summer.1.LR	587	318	0.541737649063
Adams_university_homes_Summer.txt	Summer.4.Balcony	561	210	0.374331550802
Adams_university_homes_Summer.txt	Summer.8.Bedroom	499	439	0.879759519038
Adams_university_homes_Summer.txt	Summer.7.LR	491	201	0.409368635438
Adams_university_homes_Summer.txt	Summer.11.Balcony	484	171	0.353305785124
Adams_university_homes_Summer.txt	Summer.9.K	421	180	0.427553444181
Adams_university_homes_Summer.txt	Summer.8.Balcony	421	150	0.356294536817
Adams_university_homes_Summer.txt	Summer.10.K	419	300	0.715990453461
Adams_university_homes_Summer.txt	Summer.8.LR	414	250	0.6038647343
Adams_university_homes_Summer.txt	Summer.8.K	412	325	0.788834951456
Adams_university_homes_Summer.txt	Summer.10.LR	361	177	0.490304709141
Adams_university_homes_Summer.txt	Summer.7.K	352	166	0.471590909091
Adams_university_homes_Summer.txt	Summer.9.Bath	308	174	0.564935064935
Adams_university_homes_Summer.txt	Summer.Negative.neg.ext.1	25	19	0.76
Adams_university_homes_Winter.txt	Winter.4.Balcony	1944	1683	0.865740740741
Adams_university_homes_Winter.txt	Winter.10.Balcony	1700	1459	0.858235294118
Adams_university_homes_Winter.txt	Winter.5.Balcony	1684	1298	0.770783847981
Adams_university_homes_Winter.txt	Winter.2.Balcony	1551	1350	0.870406189555
Adams_university_homes_Winter.txt	Winter.8.Balcony	1255	1063	0.847011952191
Adams_university_homes_Winter.txt	Winter.7.Kitchen	1124	697	0.620106761566
Adams_university_homes_Winter.txt	Winter.7.LR	942	505	0.536093418259
Adams_university_homes_Winter.txt	Winter.2.LR	600	531	0.885
Adams_university_homes_Winter.txt	Winter.2.Bedroom	598	485	0.811036789298
Adams_university_homes_Winter.txt	Winter.8.Bedroom	547	439	0.802559414991
Adams_university_homes_Winter.txt	Winter.4.Bedroom	509	425	0.834970530452
Adams_university_homes_Winter.txt	Winter.2.Kitchen	480	387	0.80625
Adams_university_homes_Winter.txt	Winter.5.Kitchen	466	273	0.585836909871
Adams_university_homes_Winter.txt	Winter.2.Bath	459	331	0.721132897603
Adams_university_homes_Winter.txt	Winter.5.LR	447	236	0.527964205817
Adams_university_homes_Winter.txt	Winter.3.Kitchen	437	285	0.652173913043
