H1	R	J
Summer.1.LR	2.65570599765502	39	0.724897314191677
Summer.1.Bedroom	2.3977911975707	35	0.674418131811886
Summer.1.Balcony	4.2219692256446	75	0.977876282370706
Summer.2.Bath	3.81941042339591	67	0.908368522774237
Summer.2.Balcony	4.14742202615096	72	0.969779241757869
Summer.3.Bedroom	3.68330770267608	60	0.899608630075105
Summer.3.Balcony	3.34187702184818	45	0.877902107378534
Summer.4.Bath	3.12147222890801	43	0.829913892612015
Summer.4.Bedroom	3.52162505353143	49	0.904878638728793
Summer.4.Balcony	4.32607681306238	82	0.98170011982226
Summer.5.LR	4.0799418087967	68	0.966923654101118
Summer.5.Bath	4.07079818258606	70	0.958174118284388
Summer.5.Bedroom	3.97243624064302	63	0.958799677775098
Summer.5.Balcony	4.10485094025957	71	0.962974245935801
Summer.6.K	3.86325620274113	61	0.939765200876096
Summer.6.Bath	3.14228892472135	41	0.846163442711923
Summer.6.Bedroom	3.88219159683644	64	0.933469760756124
Summer.6.Balcony	4.15448900829034	72	0.971431692976345
Summer.7.K	3.30031666970095	45	0.866984314624669
Summer.7.LR	4.00924380560151	70	0.943685605651651
Summer.7.Bath	3.18999108444658	42	0.853470587352683
Summer.7.Balcony	4.25423537961422	78	0.976479160955718
Summer.8.LR	3.55983492332892	46	0.929790637115643
Summer.8.Bedroom	0.598461610993721	8	0.287799199447687
Summer.8.Balcony	4.06538665049508	69	0.960152194112504
Summer.9.K	4.10243521458146	68	0.972254466924888
Summer.9.Bath	2.83333091422196	36	0.790656045881717
Summer.9.Balcony	3.68276691512797	53	0.927580892114578
Summer.10.K	3.67143068690893	53	0.924725628958651
Summer.10.LR	3.79239702435077	56	0.94212812089921
Summer.11.Balcony	4.12054838457251	72	0.963495458822616
Winter.2.Bath	3.61674864708041	55	0.902532552174246
Winter.3.Kitchen	2.85257279819001	41	0.768147957532865
Winter.3.LR	4.21787903021827	76	0.973941062355828
Winter.3.Bath	3.23250354698824	45	0.849169989636586
Winter.3.Bedroom	3.57937916591163	54	0.897315989266632
Winter.4.Kitchen	2.26142544345534	25	0.702551314960383
Winter.4.Bath	3.44257562669017	49	0.884566954019292
Winter.5.Kitchen	3.88304384248039	61	0.944578688322577
Winter.5.LR	4.11560594350223	70	0.968720855037836
Winter.5.Bath	3.16012984165481	45	0.830157611857383
Winter.5.Bedroom	3.47015134055728	48	0.896401744776215
Winter.5.Balcony	2.38274170653844	30	0.70055966742336
Winter.7.Kitchen	3.68811038627966	55	0.92034034002234
Winter.7.LR	4.02437904463787	68	0.953755586155495
Winter.8.Bath	4.04376451005408	65	0.968708519024202
Winter.11.Bath	3.36351818198899	48	0.868856505387242
F1	4.28448798222878	79	0.980555925346432
F2	2.88675097278723	26	0.886023768510017
F3	1.86158314174116	20	0.621411718989382
F4	2.9101859235169	43	0.773738656279995
F5	2.63416929327313	26	0.808499460507932
D6	2.34804862411426	21	0.771237089607407
D7	2.41493177848521	17	0.852364959931974
D8	2.43114529913446	17	0.858087621334533
D9	2.36202630064637	20	0.78846374941382
D10	2.96743653309209	28	0.890532536052556
D11	2.66842436677163	23	0.851037885260741
D12	2.71735928792918	20	0.907076814546393
D13	2.57091003222067	24	0.808957358642095
D14	2.87493281009609	27	0.872292205888661
D15	2.0876884643063	16	0.752974448593948
D16	2.5618995804795	23	0.817064042875399
W17	3.46499777985155	52	0.876938510159923
W18	2.74149406511458	27	0.831805145877319
W19	3.82071359553611	60	0.933168554202608
W20	2.12175164600554	16	0.765260144422547
W21	3.03849985635732	33	0.869009948625116
W22	2.83023603889395	24	0.890556356178551
W23	2.91497100434691	26	0.894685277225415
W24	2.32414483683735	24	0.731310720618881
UIW23.660774	1.98272441927508	19	0.673379354540533
MBR13.660762	2.66111229747067	40	0.721387708807597
MPK2.660771	2.95124598695683	41	0.794718921282705
