	shannon	PD_whole_tree
Summer.9.Balcony	5.86398474115	10.12272
Summer.5.Bath	6.55702712541	15.97646
Summer.7.K	4.9937414019	8.74638
Summer.4.Balcony	6.80456542968	13.76715
Winter.2.Bath	2.70011517847	9.86726
Winter.7.LR	5.68718140366	18.05776
Summer.6.Balcony	6.82242362476	15.8773
Summer.2.Balcony	7.15733857733	18.61049
Summer.8.Balcony	6.19359060706	10.89676
Winter.5.Bath	4.76869073019	9.54414
Summer.6.Bedroom	6.15466670631	16.28502
Summer.10.LR	5.82353792703	10.48065
Winter.3.Bedroom	4.26980830075	9.17792
Summer.4.Bedroom	5.86809846961	13.96878
Winter.4.Kitchen	3.55302609469	5.24674
Winter.4.Bedroom	1.52748390488	5.61134
Summer.4.Bath	5.07737132606	11.76604
Winter.4.Bath	4.93979082268	9.81948
Summer.5.Bedroom	6.46644075071	17.5006
Summer.9.K	6.1747219867	11.40419
Summer.8.LR	5.56012098748	9.45185
Summer.8.K	2.61533724563	6.4544
Winter.2.Kitchen	1.15856054164	6.79285
Summer.11.Balcony	6.27022079401	11.26029
Summer.7.Balcony	6.7862566639	15.1158
Summer.1.Balcony	7.2466575462	17.4857
Summer.5.Balcony	6.62440047946	14.59485
Summer.3.Balcony	5.50337027013	10.74105
Summer.6.Bath	5.05722501562	13.26324
Winter.8.Bath	5.70582810475	8.88523
Summer.3.Bedroom	6.30396920486	15.53408
Summer.7.Bath	5.22172363606	11.17588
Summer.7.LR	5.87489322717	11.98809
Summer.2.Bath	6.21867075347	19.34088
Winter.8.Bedroom	1.14962550588	6.38054
Winter.11.Bath	4.37401199161	9.48658
Winter.10.Bedroom	3.01423455054	7.52886
Summer.9.Bath	4.3356892332	8.87982
Summer.6.K	6.57901917994	18.06332
Winter.8.Balcony	0.717420717179	5.11705
Summer.1.LR	4.4037869159	10.41652
Winter.2.LR	0.59975168518	4.81064
Winter.3.Kitchen	4.06046378702	8.51182
Winter.7.Kitchen	3.72153739616	14.6772
Winter.5.LR	5.81695924412	14.33904
Winter.5.Kitchen	5.66662193328	12.24109
Winter.5.Bedroom	3.83719509417	9.05882
Winter.3.Bath	4.1480829926	9.24017
Summer.1.Bedroom	3.99218757158	10.96628
Winter.3.LR	4.50431937598	11.17274
Summer.5.LR	6.5371266411	14.58346
Summer.10.K	4.99107477126	9.49789
Winter.2.Bedroom	1.54163190102	8.53749
Summer.Negative.neg.ext.1	3.076103171	2.84725
Winter.5.Balcony	1.11982702868	5.95878
Winter.10.Balcony	0.496701411135	5.05426
Winter.2.Balcony	0.45488975142	3.71705
Summer.8.Bedroom	0.781524675404	4.19713
Winter.4.Balcony	0.440266852751	5.75972
Swab.20.1135598	3.20538408128	34.93846
Swab.31.1135603	1.53078507706	20.52914
Swab.7.1135613	4.01724034415	21.82612
Swab.4.1135610	4.44847921464	48.93777
Swab.1.1135644	6.65449894361	49.26541
Swab.9.1135578	5.45624431317	26.89691
Swab.25.1135587	3.79754644599	34.64752
Cheese.A1.1135569	4.50038995222	42.23091
Cheese.B4.1135633	3.84264777652	28.5338
Cheese.A2.1135589	4.37388730365	48.11878
Swab.16.1135618	3.27233864528	29.54286
Cheese.B2.1135601	4.0689545836	45.74421
Swab.38.1135585	5.13197998582	22.59264
Swab.36.1135573	5.91444107496	34.08163
Swab.22.1135593	3.2440918666	28.47521
Swab.15.1135625	5.90026860288	27.13589
Swab.11.1135622	3.2871339769	35.68291
Swab.57.1135583	2.86695357144	29.10835
Swab.13.1135581	2.6720916797	25.26767
Swab.5.1135566	3.77023788902	25.68268
Cheese.A4.1135570	5.53488223742	40.32453
Swab.65.1135621	4.98264438917	33.07672
Swab.37.1135592	1.1586080753	25.39305
Swab.41.1135599	1.84285295273	5.67042
Swab.14.1135567	3.24335399444	26.30943
Swab.28.1135629	4.20375263429	30.09541
Swab.64.1135647	4.65677373818	33.92391
Swab.21.1135639	4.37146376987	31.41638
Swab.19.1135604	3.40881607658	36.90808
Swab.61.1135615	2.38549684737	25.64417
Swab.68.1135651	4.35047236141	27.41564
Cheese.A3.1135609	4.23449522835	47.17806
Swab.26.1135591	3.98278284883	25.30151
Swab.63.1135642	5.0855174155	34.17526
Swab.10.1135619	3.07748528305	30.05848
Swab.29.1135624	5.2301053534	31.1486
Swab.51.1135649	6.15625944581	30.22673
Swab.43.1135634	6.56258549159	35.95042
Swab.72.1135646	4.58270357559	31.11263
Swab.18.1135576	5.40170716742	30.63272
Swab.71.1135605	4.97450973256	30.11686
Swab.48.1135636	5.72100936444	30.92282
Swab.44.1135632	5.48456763758	33.9984
Swab.52.1135617	5.27140885145	35.44659
Swab.30.1135650	4.86926887902	32.19789
Swab.47.1135626	6.30341513068	23.40151
Swab.55.1135607	5.64587476761	23.137
Swab.6.1135611	4.44811612794	32.86885
Swab.35.1135623	5.25038543945	23.96153
Swab.75.1135594	6.10751501639	20.65728
Cheese.B3.1135586	3.81855812658	38.85341
