	observed_species
Swab.20.1135598	73
Swab.31.1135603	58
Swab.7.1135613	125
Swab.4.1135610	152
Swab.1.1135644	252
Swab.9.1135578	146
Swab.25.1135587	92
Cheese.A1.1135569	106
Cheese.B4.1135633	87
Cheese.A2.1135589	103
Swab.16.1135618	71
Cheese.B2.1135601	96
Swab.38.1135585	142
Swab.36.1135573	178
Swab.22.1135593	67
Swab.15.1135625	169
Swab.11.1135622	110
Swab.57.1135583	95
Swab.13.1135581	64
Swab.5.1135566	89
Cheese.A4.1135570	147
Swab.65.1135621	111
Swab.37.1135592	56
Swab.14.1135567	73
Swab.28.1135629	116
Swab.64.1135647	99
Swab.21.1135639	108
Swab.19.1135604	80
Swab.61.1135615	89
Swab.68.1135651	103
Cheese.A3.1135609	108
Swab.26.1135591	65
Swab.63.1135642	142
Swab.10.1135619	81
Swab.29.1135624	136
Swab.51.1135649	183
Swab.43.1135634	201
Swab.72.1135646	93
Swab.18.1135576	120
Swab.71.1135605	134
Swab.48.1135636	142
Swab.44.1135632	150
Swab.52.1135617	145
Swab.30.1135650	137
Swab.47.1135626	167
Swab.55.1135607	154
Swab.6.1135611	113
Swab.35.1135623	149
Swab.75.1135594	155
Cheese.B3.1135586	91
Swab.12.1135608	141
Swab.60.1135635	107
Cheese.B1.1135637	109
Swab.40.1135597	157
Swab.3.1135572	67
Swab.39.1135582	135
Swab.69.1135575	91
Swab.67.1135616	95
Swab.24.1135596	75
Swab.17.1135641	155
Swab.23.1135628	77
Swab.56.1135579	98
Swab.27.1135640	142
Swab.46.1135577	161
Swab.73.1135645	143
Swab.33.1135612	117
Swab.45.1135568	177
Swab.49.1135614	81
Swab.8.1135574	90
Swab.53.1135590	168
Swab.78.1135631	84
Swab.32.1135643	68
Swab.59.1135584	91
Swab.76.1135648	124
Swab.80.1135571	158
Swab.54.1135627	167
Swab.2.1135638	88
Swab.62.1135600	186
Swab.66.1135630	75
NICU.151.1129867	176
NICU.41.1129724	183
NICU.60.1129772	219
NICU.115.1129814	160
NICU.146.1129829	174
NICU.19.1129800	186
NICU.94.1129760	167
NICU.62.1129789	168
NICU.63.1129853	162
NICU.14.1129737	180
NICU.61.1129786	174
NICU.85.1129841	182
NICU.104.1129798	182
NICU.142.1129807	204
NICU.4.1129805	166
NICU.123.1129794	291
NICU.7.1129746	157
NICU.45.1129749	172
NICU.65.1129741	181
NICU.49.1129810	202
NICU.25.1129846	169
NICU.71.1129825	182
NICU.83.1129773	157
NICU.40.1129821	173
NICU.89.1129861	182
NICU.120.1129763	218
NICU.67.1129796	180
NICU.119.1129816	209
NICU.109.1129834	176
NICU.53.1129766	174
NICU.128.1129869	153
NICU.31.1129726	180
NICU.5.1129729	184
NICU.32.1129769	194
NICU.96.1129767	166
NICU.113.1129819	175
NICU.35.1129806	181
NICU.93.1129838	147
NICU.9.1129863	177
NICU.126.1129761	266
NICU.55.1129848	186
NICU.69.1129735	138
NICU.117.1129787	156
NICU.134.1129817	170
NICU.68.1129747	161
NICU.143.1129744	177
NICU.48.1129827	123
NICU.6.1129723	163
NICU.111.1129785	165
NICU.44.1129784	169
NICU.150.1129732	176
NICU.15.1129774	189
NICU.13.1129860	165
NICU.47.1129836	165
NICU.125.1129788	236
NICU.77.1129795	175
NICU.130.1129742	189
NICU.70.1129804	177
NICU.26.1129739	175
NICU.102.1129753	154
NICU.99.1129818	166
NICU.90.1129832	188
NICU.81.1129738	184
NICU.2.1129811	175
NICU.75.1129862	166
NICU.121.1129728	184
NICU.21.1129758	182
NICU.87.1129830	183
NICU.74.1129770	162
NICU.1.1129823	178
NICU.3.1129813	198
NICU.82.1129799	162
NICU.10.1129833	186
NICU.138.1129783	190
NICU.42.1129797	182
NICU.79.1129765	156
NICU.127.1129809	137
NICU.57.1129777	183
NICU.20.1129801	179
NICU.112.1129850	150
NICU.29.1129840	195
NICU.144.1129855	178
NICU.18.1129736	230
NICU.149.1129734	181
NICU.76.1129757	170
NICU.22.1129859	194
NICU.50.1129866	180
NICU.43.1129865	177
NICU.78.1129793	188
NICU.148.1129748	190
NICU.39.1129754	163
NICU.24.1129831	175
NICU.12.1129803	178
NICU.118.1129808	166
NICU.34.1129740	187
NICU.131.1129812	155
NICU.107.1129762	178
NICU.36.1129771	188
NICU.52.1129776	176
NICU.66.1129868	163
NICU.72.1129837	163
NICU.30.1129790	165
NICU.136.1129750	138
NICU.141.1129854	201
NICU.86.1129727	175
NICU.88.1129856	166
NICU.33.1129839	191
NICU.80.1129844	186
NICU.101.1129864	145
NICU.51.1129857	149
NICU.110.1129775	174
NICU.124.1129745	230
NICU.147.1129733	190
NICU.84.1129725	196
NICU.56.1129731	185
NICU.8.1129782	260
NICU.108.1129752	177
NICU.105.1129851	160
NICU.103.1129820	164
NICU.129.1129743	173
NICU.38.1129847	180
NICU.106.1129768	161
NICU.23.1129815	200
NICU.58.1129755	189
NICU.139.1129781	162
NICU.116.1129824	163
NICU.133.1129858	163
NICU.137.1129764	188
NICU.122.1129822	204
NICU.95.1129756	126
NICU.132.1129835	174
NICU.59.1129780	124
NICU.114.1129826	166
NICU.140.1129792	145
NICU.73.1129852	170
NICU.135.1129842	155
NICU.100.1129845	205
