	observed_species
Swab.31.1135603	189
NICU.15.1129774	363
Swab.7.1135613	152
NICU.125.1129788	399
NICU.77.1129795	374
Cheese.B2.1135601	187
Swab.1.1135644	407
Swab.15.1135625	358
Swab.44.1135632	371
Swab.43.1135634	390
Swab.52.1135617	329
Swab.36.1135573	331
Swab.63.1135642	266
Swab.65.1135621	285
Swab.29.1135624	216
Swab.55.1135607	342
Swab.4.1135610	234
Swab.6.1135611	292
Swab.35.1135623	314
Swab.14.1135567	272
Swab.38.1135585	304
Swab.30.1135650	239
Swab.28.1135629	213
Swab.57.1135583	241
Swab.25.1135587	241
Swab.71.1135605	318
Swab.47.1135626	233
NICU.42.1129797	367
NICU.103.1129820	376
NICU.14.1129737	362
NICU.45.1129749	371
NICU.144.1129855	361
NICU.19.1129800	363
NICU.90.1129832	368
NICU.13.1129860	355
NICU.7.1129746	380
NICU.35.1129806	360
NICU.68.1129747	367
NICU.10.1129833	378
NICU.5.1129729	387
NICU.121.1129728	426
NICU.6.1129723	363
NICU.85.1129841	397
NICU.118.1129808	356
NICU.108.1129752	385
NICU.53.1129766	377
NICU.104.1129798	351
NICU.78.1129793	380
NICU.24.1129831	367
NICU.44.1129784	363
NICU.71.1129825	371
NICU.107.1129762	383
NICU.123.1129794	422
NICU.94.1129760	350
NICU.83.1129773	320
NICU.87.1129830	374
NICU.20.1129801	375
NICU.63.1129853	368
NICU.70.1129804	365
NICU.89.1129861	353
NICU.38.1129847	348
NICU.150.1129732	365
NICU.52.1129776	378
NICU.25.1129846	352
NICU.72.1129837	367
NICU.2.1129811	390
NICU.76.1129757	354
NICU.129.1129743	366
NICU.67.1129796	386
NICU.40.1129821	376
NICU.74.1129770	370
NICU.29.1129840	353
NICU.56.1129731	372
NICU.146.1129829	349
NICU.30.1129790	382
NICU.81.1129738	378
NICU.127.1129809	370
NICU.33.1129839	368
NICU.66.1129868	362
NICU.84.1129725	388
NICU.60.1129772	410
NICU.32.1129769	382
NICU.21.1129758	328
NICU.22.1129859	356
NICU.106.1129768	346
NICU.34.1129740	378
NICU.117.1129787	364
NICU.75.1129862	350
NICU.36.1129771	391
NICU.119.1129816	370
NICU.149.1129734	379
NICU.58.1129755	378
NICU.115.1129814	563
NICU.51.1129857	310
NICU.105.1129851	359
NICU.26.1129739	327
NICU.62.1129789	369
NICU.23.1129815	397
NICU.9.1129863	394
Cheese.B4.1135633	323
Cheese.A2.1135589	232
Cheese.A1.1135569	222
Swab.11.1135622	271
NICU.50.1129866	360
Cheese.B3.1135586	194
Cheese.B1.1135637	201
Swab.67.1135616	260
Cheese.A4.1135570	374
Cheese.A3.1135609	218
Swab.21.1135639	261
Swab.59.1135584	289
NICU.48.1129827	299
NICU.86.1129727	363
NICU.4.1129805	390
NICU.95.1129756	290
NICU.110.1129775	592
NICU.39.1129754	354
NICU.79.1129765	346
NICU.80.1129844	371
NICU.137.1129764	392
NICU.112.1129850	530
NICU.138.1129783	362
NICU.109.1129834	573
NICU.102.1129753	354
NICU.101.1129864	359
NICU.128.1129869	358
NICU.96.1129767	379
NICU.120.1129763	391
NICU.130.1129742	364
NICU.43.1129865	362
NICU.136.1129750	339
NICU.126.1129761	434
NICU.133.1129858	399
NICU.18.1129736	429
NICU.3.1129813	378
NICU.99.1129818	392
NICU.131.1129812	339
NICU.114.1129826	552
NICU.65.1129741	367
Swab.12.1135608	294
Swab.17.1135641	321
Swab.78.1135631	120
Swab.5.1135566	216
Swab.24.1135596	217
Swab.61.1135615	112
Swab.37.1135592	155
Swab.60.1135635	222
Swab.27.1135640	303
Swab.3.1135572	216
Swab.51.1135649	329
Swab.26.1135591	214
Swab.40.1135597	367
Swab.19.1135604	224
Swab.48.1135636	286
Swab.22.1135593	189
Swab.16.1135618	259
Swab.23.1135628	194
Swab.18.1135576	288
Swab.39.1135582	333
Swab.13.1135581	226
Swab.64.1135647	247
Swab.8.1135574	252
Swab.54.1135627	390
Swab.46.1135577	332
Swab.72.1135646	265
Swab.68.1135651	203
Swab.56.1135579	219
Swab.9.1135578	278
Swab.20.1135598	217
Swab.10.1135619	218
NICU.151.1129867	366
NICU.82.1129799	371
NICU.1.1129823	362
NICU.113.1129819	770
NICU.122.1129822	387
NICU.143.1129744	351
NICU.88.1129856	368
NICU.69.1129735	294
NICU.148.1129748	387
NICU.61.1129786	385
NICU.93.1129838	320
NICU.134.1129817	360
NICU.49.1129810	392
NICU.142.1129807	383
NICU.8.1129782	288
NICU.111.1129785	561
NICU.57.1129777	377
NICU.55.1129848	363
NICU.31.1129726	412
NICU.59.1129780	288
Swab.73.1135645	337
Swab.45.1135568	342
NICU.124.1129745	393
NICU.47.1129836	388
NICU.139.1129781	375
NICU.141.1129854	385
NICU.12.1129803	369
NICU.147.1129733	385
NICU.41.1129724	370
Swab.75.1135594	356
Swab.76.1135648	172
NICU.116.1129824	562
NICU.100.1129845	395
Swab.53.1135590	344
Swab.33.1135612	216
Swab.69.1135575	115
Swab.80.1135571	83
NICU.135.1129842	389
Swab.66.1135630	223
NICU.132.1129835	397
NICU.73.1129852	333
Swab.62.1135600	100
NICU.140.1129792	356
Swab.2.1135638	229
Swab.32.1135643	200
Swab.49.1135614	239
